mechanism_id,label,definition,system,priority_base,activation_threshold,narrative_short,narrative_long,kind,is_enabled
insulinorresistencia,Insulinorresistencia,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Metabólico,alta,45,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia. Umbral operativo=45/100.,mecanismo,1
disfuncion_glucidica,Disfuncion Glucidica,"Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",Metabólico,alta,40,"Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.","Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos. Umbral operativo=40/100.",mecanismo,1
dislipidemia_aterogenica,Dislipidemia Aterogenica,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",Metabólico,alta,45,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.","Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas. Umbral operativo=45/100.",mecanismo,1
riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Metabólico,alta,65,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.","Integración de carga lipídica, glucídica, inflamatoria y adiposidad central. Umbral operativo=65/100.",patron_resumen,1
carga_hiperuricemica,Carga Hiperuricemica,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Metabólico,alta,45,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico. Umbral operativo=45/100.,mecanismo,1
sindrome_metabolico_patron,Sindrome Metabolico Patron,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.",Metabólico,alta,65,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.","Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica. Umbral operativo=65/100.",patron_resumen,1
carga_pancreatica_glucidica,Carga Pancreatica Glucidica,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,Metabólico,alta,45,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica. Umbral operativo=45/100.,mecanismo,1
estado_purinico,Estado Purinico,Lectura operativa del eje purinas/ácido úrico/excreción renal. [Usar con umbral alto: Concepto paraguas menos específico que carga hiperuricémica.],Metabólico,alta,55,Lectura operativa del eje purinas/ácido úrico/excreción renal.,Lectura operativa del eje purinas/ácido úrico/excreción renal. Umbral operativo=55/100.,mecanismo,1
inflamacion,Inflamacion,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,Inflamación / estrés biológico,alta,40,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma. Umbral operativo=40/100.,mecanismo,1
activacion_inmune,Activacion Inmune,Activación inmunitaria o patrón leucocitario reactivo. [Usar con umbral alto: Solapa con inflamación; requiere patrón hematológico consistente.],Inflamación / estrés biológico,media,55,Activación inmunitaria o patrón leucocitario reactivo.,Activación inmunitaria o patrón leucocitario reactivo. Umbral operativo=55/100.,mecanismo,1
estres_oxidativo,Estres Oxidativo,Señal indirecta de estrés oxidativo; inferencia de baja especificidad. [Usar con umbral alto: Proxy indirecto; mantener sensible solo si convergen varias anomalías.],Inflamación / estrés biológico,baja,65,Señal indirecta de estrés oxidativo; inferencia de baja especificidad.,Señal indirecta de estrés oxidativo; inferencia de baja especificidad. Umbral operativo=65/100.,mecanismo,1
permeabilidad_intestinal_inflamacion_baja,Permeabilidad Intestinal Inflamacion Baja,"Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela. [Experimental desactivado: Sin marcadores directos (calprotectina, zonulina u otros). Demasiado inferencial para activarlo en runtime.]",Inflamación / estrés biológico,baja,75,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela.,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela. Umbral operativo=75/100.,mecanismo,0
deficit_hierro_eritropoyesis,Deficit Hierro Eritropoyesis,Déficit de hierro funcional o absoluto con impacto eritropoyético.,Hematínico / nutricional,alta,45,Déficit de hierro funcional o absoluto con impacto eritropoyético.,Déficit de hierro funcional o absoluto con impacto eritropoyético. Umbral operativo=45/100.,mecanismo,1
sobrecarga_ferrica,Sobrecarga Ferrica,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Hematínico / nutricional,alta,50,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Exceso de hierro o señal de ferritina alta con saturación aumentada. Umbral operativo=50/100.,mecanismo,1
eje_b12_folato,Eje B12 Folato,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,Hematínico / nutricional,alta,45,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,Déficit del eje vitamínico B12/folato con reflejo hematimétrico. Umbral operativo=45/100.,mecanismo,1
alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,"Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. [Usar con umbral alto: Más amplio que eje B12/folato, pero incompleto sin homocisteína real.]",Hematínico / nutricional,alta,55,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA.,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. Umbral operativo=55/100.,mecanismo,1
deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Hematínico / nutricional,alta,50,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Sospecha de baja disponibilidad proteica o mayor catabolismo. Umbral operativo=50/100.,mecanismo,1
carga_hepatica,Carga Hepatica,Estrés hepatocelular o carga metabólica hepática.,Hepático,alta,45,Estrés hepatocelular o carga metabólica hepática.,Estrés hepatocelular o carga metabólica hepática. Umbral operativo=45/100.,mecanismo,1
componente_hepatobiliar,Componente Hepatobiliar,Componente colestásico/hepatobiliar.,Hepático,alta,40,Componente colestásico/hepatobiliar.,Componente colestásico/hepatobiliar. Umbral operativo=40/100.,mecanismo,1
seguridad_renal,Seguridad renal,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Renal / volumen,alta,35,"Bloque de vigilancia renal, filtrado y daño renal subclínico.","Bloque de vigilancia renal, filtrado y daño renal subclínico. Umbral operativo=35/100.",estado_seguridad,1
deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Patrón compatible con hemoconcentración o contracción de volumen.,Renal / volumen,media,40,Patrón compatible con hemoconcentración o contracción de volumen.,Patrón compatible con hemoconcentración o contracción de volumen. Umbral operativo=40/100.,estado_seguridad,1
retencion_hidrosalina,Retencion Hidrosalina,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. [Usar con umbral alto: Sin sodio/BNP/osmolalidad; mantener umbral alto para evitar falsos positivos.],Renal / volumen,media,60,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica.,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. Umbral operativo=60/100.,estado_seguridad,1
resistencia_leptinica_saciedad,Resistencia Leptinica Saciedad,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad. [Usar con umbral alto: Sin leptina ni señales de ingesta; usar como fenotipo indirecto de adiposidad central.],Hormonal / saciedad,alta,60,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad.,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad. Umbral operativo=60/100.,mecanismo,1
disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,Hormonal / saciedad,alta,45,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico. Umbral operativo=45/100.,mecanismo,1
estado_anabolico_bajo,Estado Anabolico Bajo,Señal de baja reserva anabólica o masa magra reducida.,Hormonal / saciedad,alta,50,Señal de baja reserva anabólica o masa magra reducida.,Señal de baja reserva anabólica o masa magra reducida. Umbral operativo=50/100.,mecanismo,1
recambio_muscular_lesion,Recambio Muscular Lesion,"Sospecha de recambio/lesión muscular; incompleto sin CK. [Experimental desactivado: Faltan CK/LDH y contexto de ejercicio/lesión. Alto riesgo de confundir hígado, riñón o catabolismo.]",Muscular / recambio,baja,70,Sospecha de recambio/lesión muscular; incompleto sin CK.,Sospecha de recambio/lesión muscular; incompleto sin CK. Umbral operativo=70/100.,mecanismo,0
