rule_id,variable_key,mechanism_id,role,activation_mode,direction,effect_direction,weight,severity_mode,requires_fasting,sex_scope,context_gate,is_enabled,notes,fuerza,especificidad
VM001,glucose_mg_dl,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. Glucosa en ayunas alta sugiere resistencia hepática a la insulina o descontrol glucémico incipiente. Aviso rama alta: Muy alta: refuerza insulinorresistencia/disglucemia y obliga a valorar diabetes franca.,alta,media
VM002,hba1c_pct,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. HbA1c alta resume exposición glucémica crónica asociada a insulinorresistencia. Aviso rama alta: Muy alta: aumenta mucho el peso del mecanismo y la prioridad clínica.,alta,media
VM003,insulin_uIU_ml,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. Insulina alta en ayunas es una señal directa de compensación hiperinsulinémica. Aviso rama alta: Muy alta: señal fuerte de compensación; priorizar contexto de adiposidad central.,alta,media
VM004,triglycerides_mg_dl,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. TG altos son un acompañante clásico del patrón insulinorresistente. Aviso rama alta: Muy altos: refuerzan el mecanismo y elevan prioridad metabólica.,alta,media
VM005,hdl_mg_dl,insulinorresistencia,supporting_driver,low,positive,positive,0.48,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=media. HDL bajo acompaña con frecuencia la insulinorresistencia. Aviso rama baja: Muy bajo: refuerza el patrón cardiometabólico.,media,media
VM006,alt_u_l,insulinorresistencia,contextual_support,high,positive,positive,0.17,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. ALT alta puede acompañar hígado graso/metabolismo hepático alterado asociado a insulinorresistencia. Aviso rama alta: Muy alta: priorizar carga hepática además de insulinorresistencia.,baja,baja
VM007,uric_acid_mg_dl,insulinorresistencia,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. La hiperuricemia es frecuente en terreno insulinorresistente. Aviso rama alta: Muy alta: apoya terreno metabólico y posible infraexcreción renal.,media,baja
VM008,bmi_kg_m2,insulinorresistencia,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. BMI alto apoya el mecanismo pero con menor especificidad que la cintura. Aviso rama alta: Muy alto: apoya insulinorresistencia pero necesita cintura/analítica para ganar especificidad.,media,baja
VM009,waist_cm,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. La adiposidad central es uno de los mejores apoyos contextuales del mecanismo. Aviso rama alta: Muy alta: refuerza fuertemente el mecanismo.,alta,media
VM010,apob_mg_dl,insulinorresistencia,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. ApoB puede elevarse en contextos de sobreproducción hepática asociada a insulinorresistencia. Aviso rama alta: Muy alta: refuerza el componente cardiometabólico asociado.,media,baja
VM011,glucose_mg_dl,disfuncion_glucidica,primary_driver,low,positive,positive,0.95,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=40. Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. La glucosa alterada por arriba o por abajo refleja pérdida de homeostasis glucémica. Aviso rama baja: Muy baja: priorizar hipoglucemia y causas específicas.,alta,alta
VM012,glucose_mg_dl,disfuncion_glucidica,primary_driver,high,positive,positive,0.95,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. La glucosa alterada por arriba o por abajo refleja pérdida de homeostasis glucémica. Aviso rama alta: Muy alta: criterio operativo fuerte de disfunción glucídica.,alta,alta
VM013,hba1c_pct,disfuncion_glucidica,primary_driver,low,positive,positive,0.95,direct_score,0,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=40. Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. HbA1c capta disglucemia crónica; valores muy bajos también pueden sugerir interferencias o recambio eritrocitario. Aviso rama baja: Muy baja: revisar si es fisiológica o artefactual.,alta,alta
VM014,hba1c_pct,disfuncion_glucidica,primary_driver,high,positive,positive,0.95,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. HbA1c capta disglucemia crónica; valores muy bajos también pueden sugerir interferencias o recambio eritrocitario. Aviso rama alta: Muy alta: aumenta mucho la prioridad clínica.,alta,alta
VM015,insulin_uIU_ml,disfuncion_glucidica,supporting_driver,low,positive,positive,0.43,direct_score,1,all,,1,"[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=40. Rama baja de asociación bidireccional. Fuerza=media; Especificidad=media. Insulina alta sugiere compensación; muy baja con glucosa alta apunta a menor reserva beta. Aviso rama baja: Muy baja: si coexiste con glucosa alta, pensar en déficit secretor.",media,media
VM016,insulin_uIU_ml,disfuncion_glucidica,supporting_driver,high,positive,positive,0.43,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Rama alta de asociación bidireccional. Fuerza=media; Especificidad=media. Insulina alta sugiere compensación; muy baja con glucosa alta apunta a menor reserva beta. Aviso rama alta: Muy alta: sugiere sobrecarga compensatoria.,media,media
VM017,triglycerides_mg_dl,disfuncion_glucidica,contextual_support,high,positive,positive,0.17,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Fuerza=baja; Especificidad=baja. TG altos acompañan con frecuencia la disglucemia. Aviso rama alta: Muy altos: refuerzan terreno metabólico.,baja,baja
VM018,waist_cm,disfuncion_glucidica,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Fuerza=media; Especificidad=baja. La adiposidad central apoya el contexto de disfunción glucídica. Aviso rama alta: Muy alta: refuerza el patrón.,media,baja
VM019,uacr_mg_g,disfuncion_glucidica,contextual_support,high,positive,positive,0.17,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Fuerza=baja; Especificidad=baja. UACR alto puede reflejar impacto microvascular/metabólico ya establecido. Aviso rama alta: Muy alto: sugiere daño renal/metabólico concomitante.,baja,baja
VM020,insulin_uIU_ml,dislipidemia_aterogenica,contextual_support,high,positive,positive,0.17,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. La hiperinsulinemia apoya el terreno de base. Aviso rama alta: Muy alta: refuerza el patrón metabólico de fondo.,baja,baja
VM021,triglycerides_mg_dl,dislipidemia_aterogenica,primary_driver,high,positive,positive,1.0,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=alta. Marcador central del patrón aterogénico por enriquecimiento de TG. Aviso rama alta: Muy altos: refuerzan claramente el mecanismo.,alta,alta
VM022,ldl_mg_dl,dislipidemia_aterogenica,supporting_driver,high,positive,positive,0.48,direct_score,1,all,,1,"[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=media. LDL alto añade carga lipídica, aunque no define por sí solo el patrón TG/HDL/ApoB. Aviso rama alta: Muy alto: aumenta riesgo y complejidad del patrón.",media,media
VM023,hdl_mg_dl,dislipidemia_aterogenica,primary_driver,low,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. HDL bajo es componente clásico del patrón aterogénico insulinorresistente. Aviso rama baja: Muy bajo: refuerza mucho el mecanismo.,alta,media
VM024,chol_total_mg_dl,dislipidemia_aterogenica,contextual_support,high,positive,positive,0.17,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. Colesterol total es una señal poco específica. Aviso rama alta: Muy alto: contextualiza pero no define el patrón.,baja,baja
VM025,waist_cm,dislipidemia_aterogenica,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. La cintura alta apoya el fenotipo metabólico asociado. Aviso rama alta: Muy alta: refuerza el fenotipo.,media,baja
VM026,apob_mg_dl,dislipidemia_aterogenica,primary_driver,high,positive,positive,1.0,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=alta. ApoB alto aproxima carga de partículas aterogénicas. Aviso rama alta: Muy alto: prioriza riesgo aterogénico.,alta,alta
VM027,lpa_nmol_l,dislipidemia_aterogenica,primary_driver,high,positive,positive,0.82,direct_score,0,all,,1,"[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=alta. Lp(a) alta añade riesgo aterotrombótico, aunque no es el núcleo del patrón TG/HDL. Aviso rama alta: Muy alta: eleva el riesgo cardiovascular aun si TG/HDL no son extremos.",media,alta
VM028,glucose_mg_dl,riesgo_cardiometabolico_global,supporting_driver,high,positive,positive,0.34,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=baja. Glucosa alta añade carga glucémica al riesgo. Aviso rama alta: Muy alta: aumenta prioridad clínica.,media,baja
VM029,hba1c_pct,riesgo_cardiometabolico_global,supporting_driver,high,positive,positive,0.34,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=baja. HbA1c alta refleja carga glucémica crónica. Aviso rama alta: Muy alta: eleva prioridad del patrón.,media,baja
VM030,triglycerides_mg_dl,riesgo_cardiometabolico_global,supporting_driver,high,positive,positive,0.44,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=media. TG altos señalan componente metabólico-aterogénico. Aviso rama alta: Muy altos: refuerzan mucho el componente metabólico.,media,media
VM031,ldl_mg_dl,riesgo_cardiometabolico_global,supporting_driver,high,positive,positive,0.44,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=media. LDL alto suma carga aterogénica. Aviso rama alta: Muy alto: eleva prioridad del patrón.,media,media
VM032,hdl_mg_dl,riesgo_cardiometabolico_global,supporting_driver,low,positive,positive,0.34,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=baja. HDL bajo acompaña el riesgo cardiometabólico global. Aviso rama baja: Muy bajo: empeora el perfil.,media,baja
VM033,hscrp_mg_l,riesgo_cardiometabolico_global,supporting_driver,high,positive,positive,0.34,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=baja. PCR alta añade componente inflamatorio al riesgo. Aviso rama alta: Muy alta: refuerza el patrón de riesgo.,media,baja
VM034,uric_acid_mg_dl,riesgo_cardiometabolico_global,contextual_support,high,positive,positive,0.16,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=baja; Especificidad=baja. La hiperuricemia se asocia con frecuencia a mayor riesgo cardiometabólico. Aviso rama alta: Muy alta: añade peso metabólico indirecto.,baja,baja
VM035,bmi_kg_m2,riesgo_cardiometabolico_global,contextual_support,high,positive,positive,0.16,direct_score,0,all,,1,"[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=baja; Especificidad=baja. BMI alto aporta contexto, pero es menos específico. Aviso rama alta: Muy alto: apoya riesgo pero sin buena especificidad.",baja,baja
VM036,waist_cm,riesgo_cardiometabolico_global,supporting_driver,high,positive,positive,0.34,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=baja. La cintura alta integra adiposidad visceral. Aviso rama alta: Muy alta: refuerza el riesgo cardiometabólico.,media,baja
VM037,uacr_mg_g,riesgo_cardiometabolico_global,contextual_support,high,positive,positive,0.21,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=baja; Especificidad=media. UACR alto puede señalar daño microvascular asociado al riesgo. Aviso rama alta: Muy alto: aumenta la prioridad del patrón de riesgo.,baja,media
VM038,apob_mg_dl,riesgo_cardiometabolico_global,primary_driver,high,positive,positive,0.97,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=alta; Especificidad=alta. ApoB alto es uno de los mejores integradores de carga aterogénica. Aviso rama alta: Muy alto: prioriza riesgo cardiovascular.,alta,alta
VM039,lpa_nmol_l,riesgo_cardiometabolico_global,primary_driver,high,positive,positive,0.75,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=alta. Lp(a) añade riesgo residual y especificidad cardiovascular. Aviso rama alta: Muy alta: aumenta el riesgo aunque otros marcadores sean discretos.,media,alta
VM040,insulin_uIU_ml,carga_hiperuricemica,contextual_support,high,positive,positive,0.17,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. La hiperinsulinemia puede reducir excreción de urato. Aviso rama alta: Muy alta: apoya el vínculo metabólico.,baja,baja
VM041,triglycerides_mg_dl,carga_hiperuricemica,contextual_support,high,positive,positive,0.17,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. TG altos acompañan con frecuencia el terreno hiperuricémico. Aviso rama alta: Muy altos: refuerzan el contexto metabólico.,baja,baja
VM042,creatinine_mg_dl,carga_hiperuricemica,contextual_support,high,positive,positive,0.17,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. Creatinina alta puede apoyar infraexcreción renal asociada. Aviso rama alta: Muy alta: obliga a considerar seguridad renal además de urato.,baja,baja
VM043,egfr_ml_min_1_73m2,carga_hiperuricemica,supporting_driver,low,positive,positive,0.48,direct_score,0,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=media. Menor filtrado favorece retención de ácido úrico. Aviso rama baja: Muy baja: sugiere infraexcreción renal relevante.,media,media
VM044,uric_acid_mg_dl,carga_hiperuricemica,primary_driver,high,positive,positive,1.0,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=alta. Marcador central del mecanismo. Aviso rama alta: Muy alta: define el patrón y eleva prioridad clínica.,alta,alta
VM045,urea_mg_dl,carga_hiperuricemica,contextual_support,high,positive,positive,0.17,direct_score,0,all,,1,"[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. Urea alta puede acompañar contracción de volumen o carga nitrogenada, modulando urato. Aviso rama alta: Muy alta: revisar deshidratación y catabolismo además del urato.",baja,baja
VM046,waist_cm,carga_hiperuricemica,contextual_support,high,positive,positive,0.17,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. La adiposidad central apoya el contexto metabólico del urato. Aviso rama alta: Muy alta: refuerza contexto.,baja,baja
VM047,glucose_mg_dl,sindrome_metabolico_patron,primary_driver,high,positive,positive,0.97,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=alta; Especificidad=alta. Glucosa alta en ayunas forma parte del patrón. Aviso rama alta: Muy alta: aumenta mucho la prioridad clínica.,alta,alta
VM048,hba1c_pct,sindrome_metabolico_patron,supporting_driver,high,positive,positive,0.44,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=media. Añade carga glucémica crónica al patrón. Aviso rama alta: Muy alta: refuerza la dimensión glucídica.,media,media
VM049,insulin_uIU_ml,sindrome_metabolico_patron,supporting_driver,high,positive,positive,0.44,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=media. La hiperinsulinemia apoya la base fisiopatológica del patrón. Aviso rama alta: Muy alta: refuerza el patrón.,media,media
VM050,triglycerides_mg_dl,sindrome_metabolico_patron,primary_driver,high,positive,positive,0.97,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=alta; Especificidad=alta. TG altos forman parte del patrón clásico. Aviso rama alta: Muy altos: refuerzan claramente el síndrome metabólico.,alta,alta
VM051,hdl_mg_dl,sindrome_metabolico_patron,primary_driver,low,positive,positive,0.97,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=alta; Especificidad=alta. HDL bajo es componente clásico. Aviso rama baja: Muy bajo: refuerza el patrón.,alta,alta
VM052,hscrp_mg_l,sindrome_metabolico_patron,contextual_support,high,positive,positive,0.16,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=baja; Especificidad=baja. Puede acompañar inflamación de bajo grado del síndrome metabólico. Aviso rama alta: Muy alta: añadir componente inflamatorio.,baja,baja
VM053,bmi_kg_m2,sindrome_metabolico_patron,supporting_driver,high,positive,positive,0.34,direct_score,0,all,,1,"[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=media; Especificidad=baja. Apoya el fenotipo adiposo, menos específico que cintura. Aviso rama alta: Muy alto: refuerza fenotipo adiposo.",media,baja
VM054,waist_cm,sindrome_metabolico_patron,primary_driver,high,positive,positive,0.97,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=65. Fuerza=alta; Especificidad=alta. La cintura es el mejor eje antropométrico del patrón. Aviso rama alta: Muy alta: refuerza mucho el patrón.,alta,alta
VM055,glucose_mg_dl,carga_pancreatica_glucidica,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. Glucosa alta indica que la carga supera la capacidad de compensación. Aviso rama alta: Muy alta: aumenta prioridad clínica.,alta,media
VM056,hba1c_pct,carga_pancreatica_glucidica,supporting_driver,high,positive,positive,0.48,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=media. HbA1c alta refleja sobrecarga sostenida. Aviso rama alta: Muy alta: evidencia carga crónica.,media,media
VM057,insulin_uIU_ml,carga_pancreatica_glucidica,primary_driver,low,positive,positive,0.81,direct_score,1,all,,1,"[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=45. Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=media. Insulina alta sugiere compensación pancreática; baja con glucosa alta sugiere reserva beta insuficiente. Aviso rama baja: Muy baja: si la glucosa está alta, pensar en agotamiento secretor.",alta,media
VM058,insulin_uIU_ml,carga_pancreatica_glucidica,primary_driver,high,positive,positive,0.81,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=media. Insulina alta sugiere compensación pancreática; baja con glucosa alta sugiere reserva beta insuficiente. Aviso rama alta: Muy alta: refuerza sobrecarga compensatoria.,alta,media
VM059,triglycerides_mg_dl,carga_pancreatica_glucidica,supporting_driver,high,positive,positive,0.37,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. TG altos apoyan el terreno metabólico de sobrecarga pancreática. Aviso rama alta: Muy altos: refuerzan el terreno.,media,baja
VM060,waist_cm,carga_pancreatica_glucidica,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. La adiposidad central apoya resistencia y sobrecarga secretora. Aviso rama alta: Muy alta: refuerza el mecanismo.,media,baja
VM061,triglycerides_mg_dl,estado_purinico,contextual_support,high,positive,positive,0.15,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=55. UMBRAL_ALTO: Concepto paraguas menos específico que carga hiperuricémica. Fuerza=baja; Especificidad=baja. Acompaña con frecuencia el terreno purínico-metabólico. Aviso rama alta: Muy altos: refuerzan el contexto.,baja,baja
VM062,creatinine_mg_dl,estado_purinico,contextual_support,high,positive,positive,0.15,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=55. UMBRAL_ALTO: Concepto paraguas menos específico que carga hiperuricémica. Fuerza=baja; Especificidad=baja. Creatinina alta puede apoyar infraexcreción renal. Aviso rama alta: Muy alta: revisar seguridad renal.,baja,baja
VM063,egfr_ml_min_1_73m2,estado_purinico,supporting_driver,low,positive,positive,0.44,direct_score,0,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=55. UMBRAL_ALTO: Concepto paraguas menos específico que carga hiperuricémica. Fuerza=media; Especificidad=media. Menor filtrado modifica el estado purínico por infraexcreción. Aviso rama baja: Muy baja: priorizar componente renal.,media,media
VM064,uric_acid_mg_dl,estado_purinico,primary_driver,low,positive,positive,0.9,direct_score,0,all,,1,"[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=55. UMBRAL_ALTO: Concepto paraguas menos específico que carga hiperuricémica. Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. El urato es el eje central del estado purínico; el extremo alto tiene mayor interés operativo. Aviso rama baja: Muy baja: revisar fármacos, dieta extrema o situaciones poco frecuentes.",alta,alta
VM065,uric_acid_mg_dl,estado_purinico,primary_driver,high,positive,positive,0.9,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=55. UMBRAL_ALTO: Concepto paraguas menos específico que carga hiperuricémica. Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. El urato es el eje central del estado purínico; el extremo alto tiene mayor interés operativo. Aviso rama alta: Muy alta: refuerza claramente el mecanismo.,alta,alta
VM066,urea_mg_dl,estado_purinico,contextual_support,high,positive,positive,0.15,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=55. UMBRAL_ALTO: Concepto paraguas menos específico que carga hiperuricémica. Fuerza=baja; Especificidad=baja. Carga nitrogenada y contracción de volumen pueden modular el eje purínico. Aviso rama alta: Muy alta: revisar deshidratación/catabolismo.,baja,baja
VM067,hdl_mg_dl,inflamacion,contextual_support,low,positive,positive,0.17,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=40. Fuerza=baja; Especificidad=baja. HDL puede descender en contextos inflamatorios. Aviso rama baja: Muy baja: añade peso inflamatorio-metabólico.,baja,baja
VM068,hscrp_mg_l,inflamacion,primary_driver,high,positive,positive,0.86,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Fuerza=alta; Especificidad=media. PCR ultrasensible alta es uno de los mejores marcadores de inflamación sistémica de bajo grado. Aviso rama alta: Muy alta: refuerza claramente el mecanismo.,alta,media
VM069,esr_mm_h,inflamacion,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,"[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=40. Fuerza=media; Especificidad=baja. La VSG alta acompaña procesos inflamatorios, aunque es menos específica y más lenta. Aviso rama alta: Muy alta: apoya inflamación sostenida.",media,baja
