rule_id,variable_key,mechanism_id,role,activation_mode,effect_direction,weight,severity_mode,requires_fasting,sex_scope,context_gate,is_enabled,notes
VM001,glucose_mg_dl,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. Glucosa en ayunas alta sugiere resistencia hepática a la insulina o descontrol glucémico incipiente. Aviso rama alta: Muy alta: refuerza insulinorresistencia/disglucemia y obliga a valorar diabetes franca.
VM002,hba1c_pct,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,0,all,none,1,Fuerza=alta; Especificidad=media. HbA1c alta resume exposición glucémica crónica asociada a insulinorresistencia. Aviso rama alta: Muy alta: aumenta mucho el peso del mecanismo y la prioridad clínica.
VM003,insulin_uIU_ml,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. Insulina alta en ayunas es una señal directa de compensación hiperinsulinémica. Aviso rama alta: Muy alta: señal fuerte de compensación; priorizar contexto de adiposidad central.
VM004,triglycerides_mg_dl,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. TG altos son un acompañante clásico del patrón insulinorresistente. Aviso rama alta: Muy altos: refuerzan el mecanismo y elevan prioridad metabólica.
VM005,hdl_mg_dl,insulinorresistencia,supporting_driver,low_is_worse,positive,0.60,linear,1,all,none,1,Fuerza=media; Especificidad=media. HDL bajo acompaña con frecuencia la insulinorresistencia. Aviso rama baja: Muy bajo: refuerza el patrón cardiometabólico.
VM006,alt_u_l,insulinorresistencia,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. ALT alta puede acompañar hígado graso/metabolismo hepático alterado asociado a insulinorresistencia. Aviso rama alta: Muy alta: priorizar carga hepática además de insulinorresistencia.
VM007,uric_acid_mg_dl,insulinorresistencia,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. La hiperuricemia es frecuente en terreno insulinorresistente. Aviso rama alta: Muy alta: apoya terreno metabólico y posible infraexcreción renal.
VM008,bmi_kg_m2,insulinorresistencia,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. BMI alto apoya el mecanismo pero con menor especificidad que la cintura. Aviso rama alta: Muy alto: apoya insulinorresistencia pero necesita cintura/analítica para ganar especificidad.
VM009,waist_cm,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,0,all,none,1,Fuerza=alta; Especificidad=media. La adiposidad central es uno de los mejores apoyos contextuales del mecanismo. Aviso rama alta: Muy alta: refuerza fuertemente el mecanismo.
VM010,apob_mg_dl,insulinorresistencia,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. ApoB puede elevarse en contextos de sobreproducción hepática asociada a insulinorresistencia. Aviso rama alta: Muy alta: refuerza el componente cardiometabólico asociado.
VM011,glucose_mg_dl,disfuncion_glucidica,primary_driver,low_is_worse,positive,0.90,threshold,1,all,none,1,Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. La glucosa alterada por arriba o por abajo refleja pérdida de homeostasis glucémica. Aviso rama baja: Muy baja: priorizar hipoglucemia y causas específicas.
VM012,glucose_mg_dl,disfuncion_glucidica,primary_driver,high_is_worse,positive,0.95,threshold,1,all,none,1,Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. La glucosa alterada por arriba o por abajo refleja pérdida de homeostasis glucémica. Aviso rama alta: Muy alta: criterio operativo fuerte de disfunción glucídica.
VM013,hba1c_pct,disfuncion_glucidica,primary_driver,low_is_worse,positive,0.90,threshold,0,all,none,1,Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. HbA1c capta disglucemia crónica; valores muy bajos también pueden sugerir interferencias o recambio eritrocitario. Aviso rama baja: Muy baja: revisar si es fisiológica o artefactual.
VM014,hba1c_pct,disfuncion_glucidica,primary_driver,high_is_worse,positive,0.95,threshold,0,all,none,1,Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. HbA1c capta disglucemia crónica; valores muy bajos también pueden sugerir interferencias o recambio eritrocitario. Aviso rama alta: Muy alta: aumenta mucho la prioridad clínica.
VM015,insulin_uIU_ml,disfuncion_glucidica,supporting_driver,low_is_worse,positive,0.55,linear,1,all,none,1,"Rama baja de asociación bidireccional. Fuerza=media; Especificidad=media. Insulina alta sugiere compensación; muy baja con glucosa alta apunta a menor reserva beta. Aviso rama baja: Muy baja: si coexiste con glucosa alta, pensar en déficit secretor."
VM016,insulin_uIU_ml,disfuncion_glucidica,supporting_driver,high_is_worse,positive,0.60,linear,1,all,none,1,Rama alta de asociación bidireccional. Fuerza=media; Especificidad=media. Insulina alta sugiere compensación; muy baja con glucosa alta apunta a menor reserva beta. Aviso rama alta: Muy alta: sugiere sobrecarga compensatoria.
VM017,triglycerides_mg_dl,disfuncion_glucidica,contextual_support,high_is_worse,positive,0.25,linear,1,all,none,1,Fuerza=baja; Especificidad=baja. TG altos acompañan con frecuencia la disglucemia. Aviso rama alta: Muy altos: refuerzan terreno metabólico.
VM018,waist_cm,disfuncion_glucidica,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. La adiposidad central apoya el contexto de disfunción glucídica. Aviso rama alta: Muy alta: refuerza el patrón.
VM019,uacr_mg_g,disfuncion_glucidica,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. UACR alto puede reflejar impacto microvascular/metabólico ya establecido. Aviso rama alta: Muy alto: sugiere daño renal/metabólico concomitante.
VM020,insulin_uIU_ml,dislipidemia_aterogenica,contextual_support,high_is_worse,positive,0.25,linear,1,all,none,1,Fuerza=baja; Especificidad=baja. La hiperinsulinemia apoya el terreno de base. Aviso rama alta: Muy alta: refuerza el patrón metabólico de fondo.
VM021,triglycerides_mg_dl,dislipidemia_aterogenica,primary_driver,high_is_worse,positive,0.95,threshold,1,all,none,1,Fuerza=alta; Especificidad=alta. Marcador central del patrón aterogénico por enriquecimiento de TG. Aviso rama alta: Muy altos: refuerzan claramente el mecanismo.
VM022,ldl_mg_dl,dislipidemia_aterogenica,supporting_driver,high_is_worse,positive,0.60,linear,1,all,none,1,"Fuerza=media; Especificidad=media. LDL alto añade carga lipídica, aunque no define por sí solo el patrón TG/HDL/ApoB. Aviso rama alta: Muy alto: aumenta riesgo y complejidad del patrón."
VM023,hdl_mg_dl,dislipidemia_aterogenica,primary_driver,low_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. HDL bajo es componente clásico del patrón aterogénico insulinorresistente. Aviso rama baja: Muy bajo: refuerza mucho el mecanismo.
VM024,chol_total_mg_dl,dislipidemia_aterogenica,contextual_support,high_is_worse,positive,0.25,linear,1,all,none,1,Fuerza=baja; Especificidad=baja. Colesterol total es una señal poco específica. Aviso rama alta: Muy alto: contextualiza pero no define el patrón.
VM025,waist_cm,dislipidemia_aterogenica,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. La cintura alta apoya el fenotipo metabólico asociado. Aviso rama alta: Muy alta: refuerza el fenotipo.
VM026,apob_mg_dl,dislipidemia_aterogenica,primary_driver,high_is_worse,positive,0.95,threshold,0,all,none,1,Fuerza=alta; Especificidad=alta. ApoB alto aproxima carga de partículas aterogénicas. Aviso rama alta: Muy alto: prioriza riesgo aterogénico.
VM027,lpa_nmol_l,dislipidemia_aterogenica,primary_driver,high_is_worse,positive,0.70,threshold,0,all,none,1,"Fuerza=media; Especificidad=alta. Lp(a) alta añade riesgo aterotrombótico, aunque no es el núcleo del patrón TG/HDL. Aviso rama alta: Muy alta: eleva el riesgo cardiovascular aun si TG/HDL no son extremos."
VM028,glucose_mg_dl,riesgo_cardiometabolico_global,supporting_driver,high_is_worse,positive,0.50,linear,1,all,none,1,Fuerza=media; Especificidad=baja. Glucosa alta añade carga glucémica al riesgo. Aviso rama alta: Muy alta: aumenta prioridad clínica.
VM029,hba1c_pct,riesgo_cardiometabolico_global,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. HbA1c alta refleja carga glucémica crónica. Aviso rama alta: Muy alta: eleva prioridad del patrón.
VM030,triglycerides_mg_dl,riesgo_cardiometabolico_global,supporting_driver,high_is_worse,positive,0.60,linear,1,all,none,1,Fuerza=media; Especificidad=media. TG altos señalan componente metabólico-aterogénico. Aviso rama alta: Muy altos: refuerzan mucho el componente metabólico.
VM031,ldl_mg_dl,riesgo_cardiometabolico_global,supporting_driver,high_is_worse,positive,0.60,linear,1,all,none,1,Fuerza=media; Especificidad=media. LDL alto suma carga aterogénica. Aviso rama alta: Muy alto: eleva prioridad del patrón.
VM032,hdl_mg_dl,riesgo_cardiometabolico_global,supporting_driver,low_is_worse,positive,0.50,linear,1,all,none,1,Fuerza=media; Especificidad=baja. HDL bajo acompaña el riesgo cardiometabólico global. Aviso rama baja: Muy bajo: empeora el perfil.
VM033,hscrp_mg_l,riesgo_cardiometabolico_global,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. PCR alta añade componente inflamatorio al riesgo. Aviso rama alta: Muy alta: refuerza el patrón de riesgo.
VM034,uric_acid_mg_dl,riesgo_cardiometabolico_global,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. La hiperuricemia se asocia con frecuencia a mayor riesgo cardiometabólico. Aviso rama alta: Muy alta: añade peso metabólico indirecto.
VM035,bmi_kg_m2,riesgo_cardiometabolico_global,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,"Fuerza=baja; Especificidad=baja. BMI alto aporta contexto, pero es menos específico. Aviso rama alta: Muy alto: apoya riesgo pero sin buena especificidad."
VM036,waist_cm,riesgo_cardiometabolico_global,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. La cintura alta integra adiposidad visceral. Aviso rama alta: Muy alta: refuerza el riesgo cardiometabólico.
VM037,uacr_mg_g,riesgo_cardiometabolico_global,contextual_support,high_is_worse,positive,0.35,linear,0,all,none,1,Fuerza=baja; Especificidad=media. UACR alto puede señalar daño microvascular asociado al riesgo. Aviso rama alta: Muy alto: aumenta la prioridad del patrón de riesgo.
VM038,apob_mg_dl,riesgo_cardiometabolico_global,primary_driver,high_is_worse,positive,0.95,threshold,0,all,none,1,Fuerza=alta; Especificidad=alta. ApoB alto es uno de los mejores integradores de carga aterogénica. Aviso rama alta: Muy alto: prioriza riesgo cardiovascular.
VM039,lpa_nmol_l,riesgo_cardiometabolico_global,primary_driver,high_is_worse,positive,0.70,threshold,0,all,none,1,Fuerza=media; Especificidad=alta. Lp(a) añade riesgo residual y especificidad cardiovascular. Aviso rama alta: Muy alta: aumenta el riesgo aunque otros marcadores sean discretos.
VM040,insulin_uIU_ml,carga_hiperuricemica,contextual_support,high_is_worse,positive,0.25,linear,1,all,none,1,Fuerza=baja; Especificidad=baja. La hiperinsulinemia puede reducir excreción de urato. Aviso rama alta: Muy alta: apoya el vínculo metabólico.
VM041,triglycerides_mg_dl,carga_hiperuricemica,contextual_support,high_is_worse,positive,0.25,linear,1,all,none,1,Fuerza=baja; Especificidad=baja. TG altos acompañan con frecuencia el terreno hiperuricémico. Aviso rama alta: Muy altos: refuerzan el contexto metabólico.
VM042,creatinine_mg_dl,carga_hiperuricemica,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. Creatinina alta puede apoyar infraexcreción renal asociada. Aviso rama alta: Muy alta: obliga a considerar seguridad renal además de urato.
VM043,egfr_ml_min_1_73m2,carga_hiperuricemica,supporting_driver,low_is_worse,positive,0.60,linear,0,all,none,1,Fuerza=media; Especificidad=media. Menor filtrado favorece retención de ácido úrico. Aviso rama baja: Muy baja: sugiere infraexcreción renal relevante.
VM044,uric_acid_mg_dl,carga_hiperuricemica,primary_driver,high_is_worse,positive,0.95,threshold,0,all,none,1,Fuerza=alta; Especificidad=alta. Marcador central del mecanismo. Aviso rama alta: Muy alta: define el patrón y eleva prioridad clínica.
VM045,urea_mg_dl,carga_hiperuricemica,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,"Fuerza=baja; Especificidad=baja. Urea alta puede acompañar contracción de volumen o carga nitrogenada, modulando urato. Aviso rama alta: Muy alta: revisar deshidratación y catabolismo además del urato."
VM046,waist_cm,carga_hiperuricemica,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. La adiposidad central apoya el contexto metabólico del urato. Aviso rama alta: Muy alta: refuerza contexto.
VM047,glucose_mg_dl,sindrome_metabolico_patron,primary_driver,high_is_worse,positive,0.95,threshold,1,all,none,1,Fuerza=alta; Especificidad=alta. Glucosa alta en ayunas forma parte del patrón. Aviso rama alta: Muy alta: aumenta mucho la prioridad clínica.
VM048,hba1c_pct,sindrome_metabolico_patron,supporting_driver,high_is_worse,positive,0.60,linear,0,all,none,1,Fuerza=media; Especificidad=media. Añade carga glucémica crónica al patrón. Aviso rama alta: Muy alta: refuerza la dimensión glucídica.
VM049,insulin_uIU_ml,sindrome_metabolico_patron,supporting_driver,high_is_worse,positive,0.60,linear,1,all,none,1,Fuerza=media; Especificidad=media. La hiperinsulinemia apoya la base fisiopatológica del patrón. Aviso rama alta: Muy alta: refuerza el patrón.
VM050,triglycerides_mg_dl,sindrome_metabolico_patron,primary_driver,high_is_worse,positive,0.95,threshold,1,all,none,1,Fuerza=alta; Especificidad=alta. TG altos forman parte del patrón clásico. Aviso rama alta: Muy altos: refuerzan claramente el síndrome metabólico.
VM051,hdl_mg_dl,sindrome_metabolico_patron,primary_driver,low_is_worse,positive,0.95,threshold,1,all,none,1,Fuerza=alta; Especificidad=alta. HDL bajo es componente clásico. Aviso rama baja: Muy bajo: refuerza el patrón.
VM052,hscrp_mg_l,sindrome_metabolico_patron,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. Puede acompañar inflamación de bajo grado del síndrome metabólico. Aviso rama alta: Muy alta: añadir componente inflamatorio.
VM053,bmi_kg_m2,sindrome_metabolico_patron,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,"Fuerza=media; Especificidad=baja. Apoya el fenotipo adiposo, menos específico que cintura. Aviso rama alta: Muy alto: refuerza fenotipo adiposo."
VM054,waist_cm,sindrome_metabolico_patron,primary_driver,high_is_worse,positive,0.95,threshold,0,all,none,1,Fuerza=alta; Especificidad=alta. La cintura es el mejor eje antropométrico del patrón. Aviso rama alta: Muy alta: refuerza mucho el patrón.
VM055,glucose_mg_dl,carga_pancreatica_glucidica,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. Glucosa alta indica que la carga supera la capacidad de compensación. Aviso rama alta: Muy alta: aumenta prioridad clínica.
VM056,hba1c_pct,carga_pancreatica_glucidica,supporting_driver,high_is_worse,positive,0.60,linear,0,all,none,1,Fuerza=media; Especificidad=media. HbA1c alta refleja sobrecarga sostenida. Aviso rama alta: Muy alta: evidencia carga crónica.
VM057,insulin_uIU_ml,carga_pancreatica_glucidica,primary_driver,low_is_worse,positive,0.80,threshold,1,all,none,1,"Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=media. Insulina alta sugiere compensación pancreática; baja con glucosa alta sugiere reserva beta insuficiente. Aviso rama baja: Muy baja: si la glucosa está alta, pensar en agotamiento secretor."
VM058,insulin_uIU_ml,carga_pancreatica_glucidica,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=media. Insulina alta sugiere compensación pancreática; baja con glucosa alta sugiere reserva beta insuficiente. Aviso rama alta: Muy alta: refuerza sobrecarga compensatoria.
VM059,triglycerides_mg_dl,carga_pancreatica_glucidica,supporting_driver,high_is_worse,positive,0.50,linear,1,all,none,1,Fuerza=media; Especificidad=baja. TG altos apoyan el terreno metabólico de sobrecarga pancreática. Aviso rama alta: Muy altos: refuerzan el terreno.
VM060,waist_cm,carga_pancreatica_glucidica,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. La adiposidad central apoya resistencia y sobrecarga secretora. Aviso rama alta: Muy alta: refuerza el mecanismo.
VM061,triglycerides_mg_dl,estado_purinico,contextual_support,high_is_worse,positive,0.25,linear,1,all,none,1,Fuerza=baja; Especificidad=baja. Acompaña con frecuencia el terreno purínico-metabólico. Aviso rama alta: Muy altos: refuerzan el contexto.
VM062,creatinine_mg_dl,estado_purinico,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. Creatinina alta puede apoyar infraexcreción renal. Aviso rama alta: Muy alta: revisar seguridad renal.
VM063,egfr_ml_min_1_73m2,estado_purinico,supporting_driver,low_is_worse,positive,0.60,linear,0,all,none,1,Fuerza=media; Especificidad=media. Menor filtrado modifica el estado purínico por infraexcreción. Aviso rama baja: Muy baja: priorizar componente renal.
VM064,uric_acid_mg_dl,estado_purinico,primary_driver,low_is_worse,positive,0.90,threshold,0,all,none,1,"Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. El urato es el eje central del estado purínico; el extremo alto tiene mayor interés operativo. Aviso rama baja: Muy baja: revisar fármacos, dieta extrema o situaciones poco frecuentes."
VM065,uric_acid_mg_dl,estado_purinico,primary_driver,high_is_worse,positive,0.95,threshold,0,all,none,1,Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. El urato es el eje central del estado purínico; el extremo alto tiene mayor interés operativo. Aviso rama alta: Muy alta: refuerza claramente el mecanismo.
