output_key,output_type,display_label,display_group,default_priority,default_target_variable,default_target_direction,ui_block,is_reusable,guardrail_key,short_template,long_template,followup_template,severity_style,is_enabled,notes
insulinorresistencia_clinical_pattern,clinical_pattern,Insulinorresistencia,metabolico,5,glucose_mg_dl,up,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con insulinorresistencia.,El conjunto de señales activas es compatible con insulinorresistencia. Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_clinical_message,clinical_message,Interpretación Insulinorresistencia,metabolico,5,glucose_mg_dl,up,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de insulinorresistencia.,La combinación de analitos asociados sugiere activación de insulinorresistencia con relevancia en el dominio metabólico.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_nutrition_action,nutrition_action,Priorizar abordaje de Insulinorresistencia,metabolico,5,glucose_mg_dl,down,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre insulinorresistencia.,Este eje merece un plan dirigido a modular insulinorresistencia y mejorar la trayectoria del marcador diana glucose_mg_dl.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_projected_target,projected_target,Objetivo analítico en Insulinorresistencia,metabolico,4,glucose_mg_dl,down,targets,0,usar_ayuno_si_variable,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de insulinorresistencia hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_followup,followup,Seguimiento de Insulinorresistencia,metabolico,4,glucose_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de insulinorresistencia.,Tiene sentido reevaluar insulinorresistencia tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_guardrail,guardrail,Contextualizar Insulinorresistencia,metabolico,3,glucose_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar insulinorresistencia.,"Antes de sobrerinterpretar insulinorresistencia conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_priority_signal,priority_signal,Prioridad Insulinorresistencia,metabolico,5,glucose_mg_dl,up,priority,0,usar_ayuno_si_variable,Alta prioridad para insulinorresistencia.,"Por su peso agregado, insulinorresistencia debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para insulinorresistencia (mecanismo)
disfuncion_glucidica_clinical_pattern,clinical_pattern,Disfuncion Glucidica,metabolico,5,glucose_mg_dl,down,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con disfuncion glucidica.,"El conjunto de señales activas es compatible con disfuncion glucidica. Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_clinical_message,clinical_message,Interpretación Disfuncion Glucidica,metabolico,5,glucose_mg_dl,down,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de disfuncion glucidica.,La combinación de analitos asociados sugiere activación de disfuncion glucidica con relevancia en el dominio metabólico.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_nutrition_action,nutrition_action,Priorizar abordaje de Disfuncion Glucidica,metabolico,5,glucose_mg_dl,up,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre disfuncion glucidica.,Este eje merece un plan dirigido a modular disfuncion glucidica y mejorar la trayectoria del marcador diana glucose_mg_dl.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_projected_target,projected_target,Objetivo analítico en Disfuncion Glucidica,metabolico,4,glucose_mg_dl,up,targets,0,usar_ayuno_si_variable,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de disfuncion glucidica hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_followup,followup,Seguimiento de Disfuncion Glucidica,metabolico,4,glucose_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de disfuncion glucidica.,Tiene sentido reevaluar disfuncion glucidica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_guardrail,guardrail,Contextualizar Disfuncion Glucidica,metabolico,3,glucose_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar disfuncion glucidica.,"Antes de sobrerinterpretar disfuncion glucidica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_priority_signal,priority_signal,Prioridad Disfuncion Glucidica,metabolico,5,glucose_mg_dl,down,priority,0,usar_ayuno_si_variable,Alta prioridad para disfuncion glucidica.,"Por su peso agregado, disfuncion glucidica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para disfuncion_glucidica (mecanismo)
dislipidemia_aterogenica_clinical_pattern,clinical_pattern,Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,up,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con dislipidemia aterogenica.,"El conjunto de señales activas es compatible con dislipidemia aterogenica. Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_clinical_message,clinical_message,Interpretación Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,up,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de dislipidemia aterogenica.,La combinación de analitos asociados sugiere activación de dislipidemia aterogenica con relevancia en el dominio metabólico.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_nutrition_action,nutrition_action,Priorizar abordaje de Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,down,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre dislipidemia aterogenica.,Este eje merece un plan dirigido a modular dislipidemia aterogenica y mejorar la trayectoria del marcador diana triglycerides_mg_dl.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_projected_target,projected_target,Objetivo analítico en Dislipidemia Aterogenica,metabolico,4,triglycerides_mg_dl,down,targets,0,usar_ayuno_si_variable,triglycerides_mg_dl pasa a ser objetivo prioritario.,La activación de dislipidemia aterogenica hace útil vigilar especialmente triglycerides_mg_dl como variable de seguimiento principal.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_followup,followup,Seguimiento de Dislipidemia Aterogenica,metabolico,4,triglycerides_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de dislipidemia aterogenica.,Tiene sentido reevaluar dislipidemia aterogenica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_guardrail,guardrail,Contextualizar Dislipidemia Aterogenica,metabolico,3,triglycerides_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar dislipidemia aterogenica.,"Antes de sobrerinterpretar dislipidemia aterogenica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_priority_signal,priority_signal,Prioridad Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,up,priority,0,usar_ayuno_si_variable,Alta prioridad para dislipidemia aterogenica.,"Por su peso agregado, dislipidemia aterogenica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para dislipidemia_aterogenica (mecanismo)
riesgo_cardiometabolico_global_clinical_pattern,clinical_pattern,Riesgo Cardiometabolico Global,metabolico,5,apob_mg_dl,up,executive_summary,0,contextualizar_resultado,Predomina un patrón compatible con riesgo cardiometabolico global.,"El conjunto de señales activas es compatible con riesgo cardiometabolico global. Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para riesgo_cardiometabolico_global (patron_resumen)
riesgo_cardiometabolico_global_clinical_message,clinical_message,Interpretación Riesgo Cardiometabolico Global,metabolico,5,apob_mg_dl,up,clinical_interpretation,0,contextualizar_resultado,Se observa activación de riesgo cardiometabolico global.,La combinación de analitos asociados sugiere activación de riesgo cardiometabolico global con relevancia en el dominio metabólico.,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para riesgo_cardiometabolico_global (patron_resumen)
riesgo_cardiometabolico_global_nutrition_action,nutrition_action,Priorizar abordaje de Riesgo Cardiometabolico Global,metabolico,5,apob_mg_dl,down,action_plan,0,contextualizar_resultado,Conviene priorizar intervención sobre riesgo cardiometabolico global.,Este eje merece un plan dirigido a modular riesgo cardiometabolico global y mejorar la trayectoria del marcador diana apob_mg_dl.,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para riesgo_cardiometabolico_global (patron_resumen)
riesgo_cardiometabolico_global_projected_target,projected_target,Objetivo analítico en Riesgo Cardiometabolico Global,metabolico,4,apob_mg_dl,down,targets,0,contextualizar_resultado,apob_mg_dl pasa a ser objetivo prioritario.,La activación de riesgo cardiometabolico global hace útil vigilar especialmente apob_mg_dl como variable de seguimiento principal.,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para riesgo_cardiometabolico_global (patron_resumen)
riesgo_cardiometabolico_global_followup,followup,Seguimiento de Riesgo Cardiometabolico Global,metabolico,4,apob_mg_dl,stability,followup,0,contextualizar_resultado,Sugerido control evolutivo de riesgo cardiometabolico global.,Tiene sentido reevaluar riesgo cardiometabolico global tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para riesgo_cardiometabolico_global (patron_resumen)
riesgo_cardiometabolico_global_guardrail,guardrail,Contextualizar Riesgo Cardiometabolico Global,metabolico,3,apob_mg_dl,mixed,guardrails,0,contextualizar_resultado,Conviene contextualizar riesgo cardiometabolico global.,"Antes de sobrerinterpretar riesgo cardiometabolico global conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para riesgo_cardiometabolico_global (patron_resumen)
riesgo_cardiometabolico_global_priority_signal,priority_signal,Prioridad Riesgo Cardiometabolico Global,metabolico,5,apob_mg_dl,up,priority,0,contextualizar_resultado,Alta prioridad para riesgo cardiometabolico global.,"Por su peso agregado, riesgo cardiometabolico global debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para riesgo_cardiometabolico_global (patron_resumen)
carga_hiperuricemica_clinical_pattern,clinical_pattern,Carga Hiperuricemica,metabolico,5,uric_acid_mg_dl,up,executive_summary,0,contextualizar_resultado,Predomina un patrón compatible con carga hiperuricemica.,El conjunto de señales activas es compatible con carga hiperuricemica. Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para carga_hiperuricemica (mecanismo)
carga_hiperuricemica_clinical_message,clinical_message,Interpretación Carga Hiperuricemica,metabolico,5,uric_acid_mg_dl,up,clinical_interpretation,0,contextualizar_resultado,Se observa activación de carga hiperuricemica.,La combinación de analitos asociados sugiere activación de carga hiperuricemica con relevancia en el dominio metabólico.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para carga_hiperuricemica (mecanismo)
carga_hiperuricemica_nutrition_action,nutrition_action,Priorizar abordaje de Carga Hiperuricemica,metabolico,5,uric_acid_mg_dl,down,action_plan,0,contextualizar_resultado,Conviene priorizar intervención sobre carga hiperuricemica.,Este eje merece un plan dirigido a modular carga hiperuricemica y mejorar la trayectoria del marcador diana uric_acid_mg_dl.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para carga_hiperuricemica (mecanismo)
carga_hiperuricemica_projected_target,projected_target,Objetivo analítico en Carga Hiperuricemica,metabolico,4,uric_acid_mg_dl,down,targets,0,contextualizar_resultado,uric_acid_mg_dl pasa a ser objetivo prioritario.,La activación de carga hiperuricemica hace útil vigilar especialmente uric_acid_mg_dl como variable de seguimiento principal.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para carga_hiperuricemica (mecanismo)
carga_hiperuricemica_followup,followup,Seguimiento de Carga Hiperuricemica,metabolico,4,uric_acid_mg_dl,stability,followup,0,contextualizar_resultado,Sugerido control evolutivo de carga hiperuricemica.,Tiene sentido reevaluar carga hiperuricemica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para carga_hiperuricemica (mecanismo)
carga_hiperuricemica_guardrail,guardrail,Contextualizar Carga Hiperuricemica,metabolico,3,uric_acid_mg_dl,mixed,guardrails,0,contextualizar_resultado,Conviene contextualizar carga hiperuricemica.,"Antes de sobrerinterpretar carga hiperuricemica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para carga_hiperuricemica (mecanismo)
carga_hiperuricemica_priority_signal,priority_signal,Prioridad Carga Hiperuricemica,metabolico,5,uric_acid_mg_dl,up,priority,0,contextualizar_resultado,Alta prioridad para carga hiperuricemica.,"Por su peso agregado, carga hiperuricemica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para carga_hiperuricemica (mecanismo)
sindrome_metabolico_patron_clinical_pattern,clinical_pattern,Sindrome Metabolico Patron,metabolico,5,glucose_mg_dl,up,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con sindrome metabolico patron.,"El conjunto de señales activas es compatible con sindrome metabolico patron. Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para sindrome_metabolico_patron (patron_resumen)
sindrome_metabolico_patron_clinical_message,clinical_message,Interpretación Sindrome Metabolico Patron,metabolico,5,glucose_mg_dl,up,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de sindrome metabolico patron.,La combinación de analitos asociados sugiere activación de sindrome metabolico patron con relevancia en el dominio metabólico.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para sindrome_metabolico_patron (patron_resumen)
sindrome_metabolico_patron_nutrition_action,nutrition_action,Priorizar abordaje de Sindrome Metabolico Patron,metabolico,5,glucose_mg_dl,down,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre sindrome metabolico patron.,Este eje merece un plan dirigido a modular sindrome metabolico patron y mejorar la trayectoria del marcador diana glucose_mg_dl.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para sindrome_metabolico_patron (patron_resumen)
sindrome_metabolico_patron_projected_target,projected_target,Objetivo analítico en Sindrome Metabolico Patron,metabolico,4,glucose_mg_dl,down,targets,0,usar_ayuno_si_variable,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de sindrome metabolico patron hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para sindrome_metabolico_patron (patron_resumen)
sindrome_metabolico_patron_followup,followup,Seguimiento de Sindrome Metabolico Patron,metabolico,4,glucose_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de sindrome metabolico patron.,Tiene sentido reevaluar sindrome metabolico patron tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para sindrome_metabolico_patron (patron_resumen)
sindrome_metabolico_patron_guardrail,guardrail,Contextualizar Sindrome Metabolico Patron,metabolico,3,glucose_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar sindrome metabolico patron.,"Antes de sobrerinterpretar sindrome metabolico patron conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para sindrome_metabolico_patron (patron_resumen)
sindrome_metabolico_patron_priority_signal,priority_signal,Prioridad Sindrome Metabolico Patron,metabolico,5,glucose_mg_dl,up,priority,0,usar_ayuno_si_variable,Alta prioridad para sindrome metabolico patron.,"Por su peso agregado, sindrome metabolico patron debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para sindrome_metabolico_patron (patron_resumen)
carga_pancreatica_glucidica_clinical_pattern,clinical_pattern,Carga Pancreatica Glucidica,metabolico,5,glucose_mg_dl,up,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con carga pancreatica glucidica.,El conjunto de señales activas es compatible con carga pancreatica glucidica. Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para carga_pancreatica_glucidica (mecanismo)
carga_pancreatica_glucidica_clinical_message,clinical_message,Interpretación Carga Pancreatica Glucidica,metabolico,5,glucose_mg_dl,up,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de carga pancreatica glucidica.,La combinación de analitos asociados sugiere activación de carga pancreatica glucidica con relevancia en el dominio metabólico.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para carga_pancreatica_glucidica (mecanismo)
carga_pancreatica_glucidica_nutrition_action,nutrition_action,Priorizar abordaje de Carga Pancreatica Glucidica,metabolico,5,glucose_mg_dl,down,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre carga pancreatica glucidica.,Este eje merece un plan dirigido a modular carga pancreatica glucidica y mejorar la trayectoria del marcador diana glucose_mg_dl.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para carga_pancreatica_glucidica (mecanismo)
carga_pancreatica_glucidica_projected_target,projected_target,Objetivo analítico en Carga Pancreatica Glucidica,metabolico,4,glucose_mg_dl,down,targets,0,usar_ayuno_si_variable,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de carga pancreatica glucidica hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para carga_pancreatica_glucidica (mecanismo)
carga_pancreatica_glucidica_followup,followup,Seguimiento de Carga Pancreatica Glucidica,metabolico,4,glucose_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de carga pancreatica glucidica.,Tiene sentido reevaluar carga pancreatica glucidica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para carga_pancreatica_glucidica (mecanismo)
carga_pancreatica_glucidica_guardrail,guardrail,Contextualizar Carga Pancreatica Glucidica,metabolico,3,glucose_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar carga pancreatica glucidica.,"Antes de sobrerinterpretar carga pancreatica glucidica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para carga_pancreatica_glucidica (mecanismo)
carga_pancreatica_glucidica_priority_signal,priority_signal,Prioridad Carga Pancreatica Glucidica,metabolico,5,glucose_mg_dl,up,priority,0,usar_ayuno_si_variable,Alta prioridad para carga pancreatica glucidica.,"Por su peso agregado, carga pancreatica glucidica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para carga_pancreatica_glucidica (mecanismo)
estado_purinico_clinical_pattern,clinical_pattern,Estado Purinico,metabolico,5,uric_acid_mg_dl,down,executive_summary,0,contextualizar_resultado,Predomina un patrón compatible con estado purinico.,El conjunto de señales activas es compatible con estado purinico. Lectura operativa del eje purinas/ácido úrico/excreción renal. [Usar con umbral alto: Concepto paraguas menos específico que carga hiperuricémica.],Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para estado_purinico (mecanismo)
estado_purinico_clinical_message,clinical_message,Interpretación Estado Purinico,metabolico,5,uric_acid_mg_dl,down,clinical_interpretation,0,contextualizar_resultado,Se observa activación de estado purinico.,La combinación de analitos asociados sugiere activación de estado purinico con relevancia en el dominio metabólico.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para estado_purinico (mecanismo)
estado_purinico_nutrition_action,nutrition_action,Priorizar abordaje de Estado Purinico,metabolico,5,uric_acid_mg_dl,up,action_plan,0,contextualizar_resultado,Conviene priorizar intervención sobre estado purinico.,Este eje merece un plan dirigido a modular estado purinico y mejorar la trayectoria del marcador diana uric_acid_mg_dl.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para estado_purinico (mecanismo)
estado_purinico_projected_target,projected_target,Objetivo analítico en Estado Purinico,metabolico,4,uric_acid_mg_dl,up,targets,0,contextualizar_resultado,uric_acid_mg_dl pasa a ser objetivo prioritario.,La activación de estado purinico hace útil vigilar especialmente uric_acid_mg_dl como variable de seguimiento principal.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para estado_purinico (mecanismo)
estado_purinico_followup,followup,Seguimiento de Estado Purinico,metabolico,4,uric_acid_mg_dl,stability,followup,0,contextualizar_resultado,Sugerido control evolutivo de estado purinico.,Tiene sentido reevaluar estado purinico tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para estado_purinico (mecanismo)
estado_purinico_guardrail,guardrail,Contextualizar Estado Purinico,metabolico,3,uric_acid_mg_dl,mixed,guardrails,0,contextualizar_resultado,Conviene contextualizar estado purinico.,"Antes de sobrerinterpretar estado purinico conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para estado_purinico (mecanismo)
