Parametro_backend,Parametro_mostrar,Unidad,Tipo_dato,Tipo_umbral,Base_umbral,Valor_min,Valor_max,Usa_sexo_biologico,Usa_ayuno,Edad_min,Edad_max,Sexo,Fuente_intervalo,Año_fuente,Tipo_intervalo,Unidad_normalizada,Categoria_alto,Causas_alto,Categoria_bajo,Causas_bajo,Prioridad_clinica,Dominio_principal,Es_driver,Es_guardrail,Nota,Comentario_aplicabilidad
age_years,Edad,anos,contexto,relative_orientation,motor_operativo,18.0,120.0,False,False,18.0,120.0,ambos,original,2026.0,relative_orientation,anos,No aplica,No aplica,No aplica,No aplica,baja,context,False,False,Variable de contexto demográfico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
albumin_g_dl,Albúmina sérica,g/dL,numerico,reference,referencia_biologica,3.5,5.0,False,False,18.0,120.0,ambos,original,2026.0,reference,g/dL,Albúmina alta,Hemoconcentración; deshidratación,Hipoalbuminemia,Inflamación; hepatopatía; pérdidas renales; malnutrición,alta,kidney,False,True,"Contextualiza síntesis hepática, pérdidas renales y estado inflamatorio/nutricional.",Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alp_u_l,ALP,U/L,numerico,reference,laboratorio,40.0,130.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,ALP elevada,Colestasis; enfermedad ósea; fractura en reparación; Paget; metástasis óseas; embarazo,ALP baja,Malnutrición; hipofosfatasia; déficit zinc/magnesio; hipotiroidismo,media,liver,False,False,Interpretar con GGT,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alt_u_l,ALT,U/L,numerico,reference,laboratorio,7.0,41.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,ALT elevada,Hepatitis; hígado graso; fármacos; alcohol; toxicidad hepática; isquemia,ALT muy baja,Sin relevancia clínica habitual,media,liver,True,False,Más específica de lesión hepatocelular,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
apob_mg_dl,Apolipoproteína B (ApoB),mg/dL,numerico,clinical_cutoff,guia_cv,0.0,89.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Carga aterogénica elevada,Exceso de partículas aterogénicas; dislipidemia aterogénica,,,alta,lipids,True,False,Más útil que LDL aislado cuando hay TG altos o discordancia.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ast_u_l,AST,U/L,numerico,reference,laboratorio,10.0,40.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,Aumento de AST,Hepatitis; alcohol; hígado graso; lesión muscular; hemólisis; ejercicio intenso; fármacos,AST muy baja,Sin relevancia clínica habitual,baja,liver,False,False,Menos específica que ALT,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
bilirubin_total_mg_dl,Bilirrubina total,mg/dL,numerico,reference,laboratorio,0.2,1.2,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hiperbilirrubinemia,Hemólisis; Gilbert; hepatitis; colestasis; obstrucción biliar,Bilirrubina baja,Sin relevancia clínica habitual,media,liver,False,False,Fraccionar si está elevada,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
bmi_kg_m2,BMI,kg/m2,numerico,reference,guia_clinica,18.5,24.9,False,False,18.0,120.0,ambos,original,2026.0,reference,kg/m2,IMC alto,Sobrepeso; obesidad,IMC bajo,Bajo peso; desnutrición; sarcopenia; enfermedad crónica,media,context,False,False,Indicador poblacional; no mide composición corporal,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
chol_total_mg_dl,Colesterol total,mg/dL,numerico,reference,laboratorio,0.0,199.0,False,True,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hipercolesterolemia,Dieta; hipercolesterolemia familiar; hipotiroidismo; colestasis; síndrome nefrótico,Colesterol bajo,Desnutrición; hipertiroidismo; hepatopatía; neoplasia; inflamación crónica,media,lipids,False,False,Desglosar con LDL y HDL,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.7,1.3,True,False,18.0,120.0,f,original,2026.0,reference,mg/dL,Creatinina elevada,Disminución filtrado renal; deshidratación; masa muscular alta; rabdomiólisis; fármacos,Creatinina baja,Baja masa muscular; caquexia; embarazo; hepatopatía avanzada,media,kidney,True,False,Interpretar con eGFR; usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.7,1.3,True,False,18.0,120.0,m,original,2026.0,reference,mg/dL,Creatinina elevada,Disminución filtrado renal; deshidratación; masa muscular alta; rabdomiólisis; fármacos,Creatinina baja,Baja masa muscular; caquexia; embarazo; hepatopatía avanzada,media,kidney,True,False,Interpretar con eGFR; usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
egfr_ml_min_1_73m2,eGFR,mL/min/1.73m2,numerico,clinical_cutoff,guia_clinica,60.0,,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mL/min/1.73m2,eGFR bajo,ERC; insuficiencia renal aguda; envejecimiento; nefropatía diabética; nefropatía hipertensiva,Hiperfiltración,Diabetes temprana; obesidad; embarazo; hiperfiltración glomerular,alta,kidney,True,True,<60 persistente sugiere ERC,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
esr_mm_h,VSG (ESR),mm/h,numerico,reference,laboratorio,0.0,15.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mm/h,VSG alta,Inflamación; infección; neoplasia; autoinmunidad; anemia; enfermedad renal,VSG baja,Policitemia; hipofibrinogenemia; drepanocitosis; insuficiencia cardiaca severa,baja,inflammation,False,False,Aumenta con la edad,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ferritin_ng_ml,Ferritina,ng/mL,numerico,reference,laboratorio,15.0,150.0,True,False,18.0,120.0,f,adulto,2024.0,reference,ng/mL,Ferritina alta,Inflamación; infección; hepatopatía; síndrome metabólico; sobrecarga de hierro; neoplasia,Ferropenia,Ferropenia; pérdidas crónicas; malabsorción; dieta insuficiente,alta,hematology,True,True,Reactante de fase aguda; usar override por sexo biológico,Adultas mujeres premenopausia; ajustar postmenopausia
ferritin_ng_ml,Ferritina,ng/mL,numerico,reference,laboratorio,30.0,400.0,True,False,18.0,120.0,m,adulto,2024.0,reference,ng/mL,Ferritina alta,Inflamación; infección; hepatopatía; síndrome metabólico; sobrecarga de hierro; neoplasia,Ferropenia,Ferropenia; pérdidas crónicas; malabsorción; dieta insuficiente,alta,hematology,True,True,Reactante de fase aguda; usar override por sexo biológico,Adultos varones
fibrinogen_mg_dl,Fibrinógeno,mg/dL,numerico,reference,laboratorio,200.0,400.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Fibrinógeno alto,Inflamación; infección; embarazo; síndrome nefrótico; tabaco,Fibrinógeno bajo,CID; hepatopatía grave; fibrinólisis; consumo coagulativo,media,inflammation,False,False,Reactante de fase aguda,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
folate_ng_ml,Folato,ng/mL,numerico,reference,laboratorio,4.0,,False,False,18.0,120.0,ambos,original,2026.0,reference,ng/mL,Folato alto,Suplementación; dieta rica en folato,Déficit de folato,Déficit dietético; alcohol; malabsorción; fármacos antifolato,media,hematology,True,False,Puede medirse en suero o eritrocito,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ft4_ng_dl,T4 libre (FT4),ng/dL,numerico,reference,ata_laboratorio,0.85,1.95,False,False,18.0,120.0,ambos,original,2026.0,reference,ng/dL,FT4 alta,Hipertiroidismo; exceso exógeno; interferencias,FT4 baja,Hipotiroidismo; enfermedad sistémica; alteraciones centrales,media,context,False,False,Interpretar siempre junto a TSH.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ggt_u_l,GGT,U/L,numerico,reference,laboratorio,10.0,50.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,GGT elevada,Colestasis; alcohol; hígado graso; fármacos inductores enzimáticos,GGT baja,Sin relevancia clínica habitual,media,liver,True,False,Marcador sensible pero poco específico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
glucose_mg_dl,Glucosa,mg/dL,numerico,clinical_cutoff,guia_clinica,70.0,99.0,False,True,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Glucosa elevada,Diabetes; prediabetes; estrés agudo; corticoides; Cushing; infección; pancreatopatía,Hipoglucemia,Exceso de insulina/sulfonilureas; ayuno prolongado; insuficiencia suprarrenal; sepsis; hepatopatía grave,alta,glucose,True,True,Rango habitual en ayunas,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hb_g_dl,Hemoglobina,g/dL,numerico,clinical_cutoff,guia_clinica,11.5,14.5,True,False,65.0,120.0,f,ancianos,2009.0,clinical_cutoff,g/dL,Hemoglobina alta,Policitemia; deshidratación; hipoxia; tabaco,Anemia,Ferropenia; inflamación; déficit B12/folato; hemólisis; sangrado,alta,hematology,True,True,Usar override por sexo biológico,Mayores 65 mujeres; rangos ajustados por edad
hb_g_dl,Hemoglobina,g/dL,numerico,clinical_cutoff,guia_clinica,13.5,17.5,True,False,18.0,120.0,m,adulto,2024.0,clinical_cutoff,g/dL,Hemoglobina alta,Policitemia; deshidratación; hipoxia; tabaco,Anemia,Ferropenia; inflamación; déficit B12/folato; hemólisis; sangrado,alta,hematology,True,True,Usar override por sexo biológico,Adultos varones
hba1c_pct,HbA1c,%,numerico,clinical_cutoff,guia_clinica,4.0,5.6,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,%,HbA1c elevada,Diabetes; prediabetes; mal control glucémico crónico,HbA1c baja,Hemólisis; sangrado reciente; recambio eritrocitario alto,alta,glucose,True,True,Refleja promedio de 2-3 meses,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hct_pct,Hematocrito,%,numerico,reference,laboratorio,40.0,55.0,True,False,18.0,120.0,f,original,2026.0,reference,%,Hematocrito alto,Policitemia; deshidratación; hipoxia,Hematocrito bajo,Anemia; hemodilución; sangrado; sobrecarga hídrica,media,hematology,False,False,Usar override por sexo biológico,Partir por sexo: ver rangos específicos M/F
hct_pct,Hematocrito,%,numerico,reference,laboratorio,40.0,55.0,True,False,18.0,120.0,m,original,2026.0,reference,%,Hematocrito alto,Policitemia; deshidratación; hipoxia,Hematocrito bajo,Anemia; hemodilución; sangrado; sobrecarga hídrica,media,hematology,False,False,Usar override por sexo biológico,Partir por sexo: ver rangos específicos M/F
hdl_mg_dl,HDL,mg/dL,numerico,reference,laboratorio,40.0,,True,True,18.0,120.0,f,original,2026.0,reference,mg/dL,HDL óptimo,Ejercicio; pérdida de peso; genética; alcohol moderado; fármacos,HDL bajo,Obesidad; tabaco; hipertrigliceridemia; insulinorresistencia; síndrome metabólico,media,lipids,False,False,Usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hdl_mg_dl,HDL,mg/dL,numerico,reference,laboratorio,40.0,,True,True,18.0,120.0,m,original,2026.0,reference,mg/dL,HDL óptimo,Ejercicio; pérdida de peso; genética; alcohol moderado; fármacos,HDL bajo,Obesidad; tabaco; hipertrigliceridemia; insulinorresistencia; síndrome metabólico,media,lipids,False,False,Usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hscrp_mg_l,hsCRP / PCR,mg/L,numerico,clinical_cutoff,guia_clinica,0.0,1.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/L,PCR elevada,Infección; inflamación; autoinmunidad; trauma; obesidad; tabaco,PCR muy baja,Sin relevancia clínica habitual,alta,inflammation,True,True,<1 bajo riesgo CV; >3 alto riesgo CV,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
insulin_uIU_ml,Insulina,uIU/mL,numerico,reference,motor_operativo,2.0,12.0,False,True,18.0,120.0,ambos,original,2026.0,reference,uIU/mL,Insulina alta,Resistencia a insulina; obesidad; síndrome metabólico; insulinoma; fase inicial de DM2,Insulina baja,DM1; fallo beta; ayuno prolongado; pancreatitis crónica,media,glucose,True,False,Más útil en ayunas y junto con glucosa,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
iron_ug_dl,Hierro,mcg/dL,numerico,reference,laboratorio,75.0,150.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mcg/dL,Hierro alto,Sobrecarga de hierro; hemólisis; hepatitis; suplementos; anemias sideroblásticas,Hierro bajo,Ferropenia; inflamación; infección; pérdidas sanguíneas; embarazo,alta,hematology,False,False,Muy variable durante el día y con la dieta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ldl_mg_dl,LDL,mg/dL,numerico,clinical_cutoff,guia_clinica,0.0,99.0,False,True,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,LDL elevado,Dieta; genética; hipotiroidismo; síndrome nefrótico; colestasis; diabetes; sedentarismo,LDL bajo,Desnutrición; hipertiroidismo; malabsorción; hepatopatía avanzada; tratamiento hipolipemiante,alta,lipids,True,True,Objetivo deseable <100 mg/dL,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
lpa_nmol_l,Lipoproteína(a) [Lp(a)],nmol/L,numerico,clinical_cutoff,esc_2025,0.0,124.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,nmol/L,Lp(a) elevada,Predominio genético; mayor riesgo aterotrombótico,,,media,lipids,False,False,ESC: considerar medir al menos una vez en la vida adulta; riesgo relevante si muy elevada.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
lymph_abs_x10_3_mm3,Linfocitos abs,x10^3/mm3,numerico,reference,laboratorio,1.0,4.8,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/mm3,Linfocitosis,Infecciones virales; tos ferina; leucemias/linfomas; hipertiroidismo,Linfopenia,Corticoides; VIH; estrés; desnutrición; enfermedades sistémicas,media,inflammation,False,False,Biomarcador de fragilidad inmunológica,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
mcv_fl,VCM (MCV),fL,numerico,reference,laboratorio,80.0,100.0,False,False,18.0,120.0,ambos,original,2026.0,reference,fL,Macrocitosis,Déficit B12; déficit folato; alcohol; hepatopatía; hipotiroidismo; reticulocitosis; fármacos; SMD,Microcitosis,Ferropenia; talasemia; anemia de enfermedad crónica; plomo; sideroblastosis,media,hematology,False,False,Interpretar con Hb y RDW,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
neut_abs_x10_3_mm3,Neutrófilos abs,x10^3/mm3,numerico,reference,laboratorio,1.8,7.5,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/mm3,Neutrofilia,Infección bacteriana; inflamación; corticoides; estrés; tabaco,Neutropenia,Fármacos; infecciones virales; autoinmunidad; quimioterapia; déficit B12/folato,alta,inflammation,False,False,Neutropenia severa incrementa riesgo infeccioso,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
platelets_x10_3_uL,Plaquetas,x10^3/uL,numerico,reference,referencia_biologica,150.0,400.0,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/uL,Trombocitosis,Inflamación; ferropenia; procesos mieloproliferativos,Trombocitopenia,Consumo periférico; hepatopatía; hiperesplenismo; médula ósea,media,liver,True,True,Útil para FIB-4 y contexto hematológico; interpretar con cautela.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
rbc_x10_6_mm3,Hematíes,x10^6/mm3,numerico,reference,laboratorio,4.5,6.1,True,False,18.0,120.0,f,original,2026.0,reference,x10^6/mm3,Eritrocitosis,Policitemia; deshidratación; hipoxia; tabaco,Anemia hematológica,Anemia; hemorragia; hemólisis; déficit nutricional; fallo medular,media,hematology,False,False,Usar override por sexo biológico,Partir por sexo: ver rangos específicos M/F
rbc_x10_6_mm3,Hematíes,x10^6/mm3,numerico,reference,laboratorio,4.5,6.1,True,False,18.0,120.0,m,original,2026.0,reference,x10^6/mm3,Eritrocitosis,Policitemia; deshidratación; hipoxia; tabaco,Anemia hematológica,Anemia; hemorragia; hemólisis; déficit nutricional; fallo medular,media,hematology,False,False,Usar override por sexo biológico,Partir por sexo: ver rangos específicos M/F
rdw_pct,RDW,%,numerico,reference,laboratorio,12.0,15.0,False,False,18.0,120.0,ambos,original,2026.0,reference,%,Anisocitosis,Ferropenia; anemia megaloblástica; déficit mixto; postransfusión; hemólisis; recuperación medular,,Sin relevancia aislada habitual,baja,hematology,False,False,Útil como apoyo en anemias,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
sex,Sexo,categorico,contexto,relative_orientation,motor_operativo,,,False,False,18.0,120.0,ambos,original,2026.0,relative_orientation,categorico,No aplica,No aplica,No aplica,No aplica,baja,context,False,False,Sexo biológico para interpretación analítica,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
tibc_ug_dl,TIBC,mcg/dL,numerico,reference,laboratorio,250.0,450.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mcg/dL,TIBC alta,Ferropenia; embarazo; aumento de transferrina,TIBC baja,Inflamación; sobrecarga de hierro; hepatopatía; desnutrición,media,hematology,False,False,Interpretar con hierro y ferritina,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
transferrin_mg_dl,Transferrina,mg/dL,numerico,reference,laboratorio,215.0,365.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Transferrina alta,Ferropenia; embarazo; estrógenos; pérdida proteica,Transferrina baja,Inflamación; hepatopatía; desnutrición; síndrome nefrótico,media,hematology,False,False,Relacionada con TIBC,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
transferrin_sat_pct,Sat. transferrina,%,numerico,reference,laboratorio,20.0,50.0,False,False,18.0,120.0,ambos,original,2026.0,reference,%,Saturación alta,Sobrecarga de hierro; hemocromatosis; hemólisis; hepatitis,Saturación baja,Ferropenia; inflamación; déficit de hierro funcional,alta,hematology,True,False,Si baja con ferritina baja sugiere ferropenia,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
triglycerides_mg_dl,Triglicéridos,mg/dL,numerico,clinical_cutoff,guia_clinica,0.0,149.0,False,True,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Hipertrigliceridemia,Dieta rica en carbohidratos o alcohol; diabetes descontrolada; obesidad; hipotiroidismo; nefropatía; fármacos,TG bajo,Desnutrición; malabsorción; hipertiroidismo; enfermedad crónica,media,lipids,True,False,Muy sensible a ayuno y alcohol,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
tsh_mIU_l,TSH,mIU/L,numerico,reference,ata_laboratorio,0.4,4.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mIU/L,TSH alta,Hipotiroidismo primario; adaptación; interferencias,TSH baja,Hipertiroidismo; supresión hipofisaria; exceso de hormona,media,context,False,False,"La interpretación depende de FT4, edad y contexto clínico.",Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
uacr_mg_g,Cociente albúmina/creatinina urinaria (UACR),mg/g,numerico,clinical_cutoff,kdigo_2024,0.0,29.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/g,Albuminuria elevada,Daño glomerular; ERC; diabetes; HTA; enfermedad renal,,,alta,kidney,True,True,KDIGO: A1 <30 mg/g; A2 30-300; A3 >300.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
urea_mg_dl,Urea,mg/dL,numerico,reference,laboratorio,15.0,40.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Urea alta,Deshidratación; catabolismo; hemorragia digestiva; insuficiencia renal; dieta rica en proteínas,Urea baja,Hepatopatía; malnutrición; baja ingesta proteica; embarazo,media,kidney,False,False,Puede expresarse como urea o BUN,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
uric_acid_mg_dl,Ácido úrico,mg/dL,numerico,reference,laboratorio,3.5,7.2,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hiperuricemia,Gota; síndrome metabólico; alcohol; diuréticos; lisis tumoral; insuficiencia renal; alta ingesta purinas,Ácido úrico bajo,SIADH; fármacos uricosúricos; hepatopatía; tubulopatías,media,kidney,False,False,Interpretar con función renal y contexto,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
vitb12_pg_ml,Vitamina B12,pg/mL,numerico,reference,laboratorio,200.0,900.0,False,False,18.0,120.0,ambos,original,2026.0,reference,pg/mL,B12 alta,Suplementación; hepatopatía; neoplasias hematológicas; insuficiencia renal,B12 baja,Déficit dietético; malabsorción; anemia perniciosa; cirugía gástrica; metformina; IBP,alta,hematology,True,False,Correlacionar con síntomas neurológicos y anemia,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
waist_cm,Cintura,cm,numerico,clinical_cutoff,guia_clinica,0.0,94.0,True,False,18.0,120.0,f,original,2026.0,clinical_cutoff,cm,Obesidad abdominal,Obesidad abdominal; síndrome metabólico; riesgo cardiometabólico,,No aplica,alta,context,False,True,Usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
waist_cm,Cintura,cm,numerico,clinical_cutoff,guia_clinica,0.0,94.0,True,False,18.0,120.0,m,original,2026.0,clinical_cutoff,cm,Obesidad abdominal,Obesidad abdominal; síndrome metabólico; riesgo cardiometabólico,,No aplica,alta,context,False,True,Usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
wbc_x10_3_mm3,Leucocitos,x10^3/mm3,numerico,reference,laboratorio,4.0,10.0,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/mm3,Leucocitosis,Infección; inflamación; estrés; corticoides; leucemia,Leucopenia,Infecciones virales; fármacos; autoinmunidad; fallo medular,media,inflammation,False,False,El diferencial aporta valor adicional,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
