rule_id,variable,etiqueta_variable,dominio_analito,sexo_referencia,rango_referencia,mecanismo,label_mecanismo,dominio_fisiologico,direccion,peso_mecanistico,tipo_aporte,especificidad,especificidad_num,fuerza,evidence_tier,evidencia_num,combo_fisiologico,es_driver_primario,necesita_ayuno,sexo_scope_regla,requiere_contexto,analitos_confirmatorios,analitos_competidores,comentario_fisiologico,definition,clinical_notes,priority_base,activation_threshold,min_hits,min_groups,display_threshold,rango_critico_bajo,rango_critico_alto,activo
VM131,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,Hematínico / nutricional,low,0.1,context,baja,0.4,baja,baja,0.4,contexto_metabolico,no,no,all,si,"vitb12_pg_ml, folate_ng_ml, mcv_fl",,La albúmina baja en déficit de B12/folato es tardía y refleja desnutrición proteica secundaria o inflamación crónica asociada a la gastritis atrófica. No usar como cribado.,Útil solo en contexto de anemia macrocítica confirmada y desnutrición severa.,No es marcador primario de déficit vitamínico. Priorizar B12 folato y hemograma.,media,55.0,2.0,2.0,24.0,1.5,6.0,si
VM148,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,carga_hepatica,Carga Hepatica,Hepático,low,0.4,support,media,0.7,media,media,0.7,sintesis,no,no,all,si,"alt_u_l, ast_u_l, ggt_u_l",,La hipoalbuminemia en hepatopatía indica cronicidad o gravedad (cirrosis,ascitis). No es un marcador precoz. Una ALT aislada leve con albúmina normal descarta preocupación grave.,Estrés hepatocelular o carga metabólica hepática con afectación de la síntesis. Requiere alteración clara de transaminasas o GGT. Albúmina baja aislada -> buscar causa renal o intestinal.,alta,45.0,2.0,2.0,24.0,1.5,6.0,si
VM140,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.7,driver,media,0.7,alta,alta,1.0,nutricional,si,no,all,si,"creatinine_mg_dl, bmi_kg_m2, urea_mg_dl",PCR_elevada,"Driver de desnutrición proteico-calórica o catabolismo severo. OJO: La albúmina es un reactante negativo de fase aguda. Si la PCR (hsCRP) está alta (>1.0), este peso debe reducirse un 50% porque la caída es inflamatoria, no nutricional.",Sospecha de baja disponibilidad proteica o mayor catabolismo tisular.,Confirmar con antropometría (IMC bajo pérdida de peso) y creatinina baja. Si PCR alta valorar primero la inflamación.,alta,50.0,2.0,2.0,22.0,1.5,6.0,si
VM167,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Renal / volumen,high,0.3,support,baja,0.4,media,baja,0.4,volumen,no,no,all,si,"hct_pct, urea_mg_dl, hb_g_dl",,Albúmina alta + Hematocrito alto + Urea alta = Paciente seco (deshidratado). Buscar causa de pérdida de volumen (vómitos,diarrea,diuréticos). Patrón compatible con hemoconcentración o contracción de volumen. Exigir al menos 2 de los 3 confirmatorios para asegurar que no es solo error de lab.,media,40.0,2.0,2.0,22.0,1.5,6.0,si
VM194,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,estado_anabolico_bajo,Estado Anabolico Bajo,Hormonal / saciedad,low,0.3,support,baja,0.4,media,baja,0.4,nutricional,no,no,all,si,"creatinine_mg_dl, bmi_kg_m2, hb_g_dl",,Masa muscular escasa o sarcopenia. Si el paciente es anciano,pensar en fragilidad y déficit de vitamina D/proteínas. No se corrige solo comiendo más huevos.,Señal de baja reserva anabólica o masa magra reducida. Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.,alta,50.0,2.0,2.0,22.0,1.5,6.0,si
VM075,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,inflamacion,Inflamacion,Inflamación / estrés biológico,low,0.3,support,baja,0.4,media,baja,0.4,consumo_negativos,no,no,all,si,"hscrp_mg_l, esr_mm_h, fibrinogen_mg_dl",,Reactante negativo de fase aguda. Albúmina baja + PCR alta = Inflamación sistémica (artritis,EII,infección oculta). NO es desnutrición en este contexto. Inflamación sistémica de baja o media intensidad. PCR ultrasensible aislada leve no basta; mejor con VSG/fibrinógeno/células.,alta,40.0,2.0,2.0,25.0,1.5,6.0,si
VM098,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,permeabilidad_intestinal_inflamacion_baja,Permeabilidad Intestinal Inflamacion Baja,Inflamación / estrés biológico,low,0.15,context,baja,0.4,baja,baja,0.4,consumo_negativos,no,no,all,si,"hscrp_mg_l, lymph_abs_x10_3_mm3, ferritin_ng_ml",,Inferencia muy indirecta. Sin calprotectina fecal o zonulina,esto es ruido. Mantener umbral muy alto.,Inferencia muy indirecta de inflamación de bajo grado. [Experimental: Demasiado inferencial para activarlo en runtime.] Muy inespecífico; mantener umbral alto y lenguaje prudente.,baja,75.0,2.0,2.0,26.0,1.5,6.0,no
VM174,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,retencion_hidrosalina,Retencion Hidrosalina,Renal / volumen,low,0.25,support,baja,0.4,media,baja,0.4,volumen,no,no,all,si,"hct_pct, hb_g_dl, creatinine_mg_dl",BNP_proBNP,"Hemodilución. Albúmina baja + Hematocrito bajo + Hb normal-baja. Pensar en ICC, IRC o SIADH. No es déficit de síntesis hepática, es exceso de agua.",Patrón compatible con expansión de volumen/hemodilución.,Muy inferencial sin datos clínicos de edemas. Buscar siempre causa cardiaca o renal.,media,60.0,2.0,2.0,22.0,1.5,6.0,si
VM160,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,seguridad_renal,Seguridad renal,Renal / volumen,low,0.15,context,baja,0.4,baja,baja,0.4,volumen,no,no,all,si,"egfr_ml_min_1_73m2, uacr_mg_g, creatinine_mg_dl",,Albúmina baja + proteinuria (UACR) = Síndrome Nefrótico (pérdida renal de proteínas). Derivación a Nefrología prioritaria.,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Priorizar creatinina/eGFR/UACR. La albúmina sérica es la consecuencia de la proteinuria.,alta,35.0,2.0,2.0,20.0,1.5,6.0,si
VM152,alp_u_l,ALP,hepatica,sexo_especifico,f: 35.0–104.0 | m: 40.0–129.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.9,driver,alta,1.0,alta,alta,1.0,colestasis,si,no,all,si,"ggt_u_l, bilirubin_total_mg_dl, alt_u_l",,"Driver de colestasis. OJO: En niños/adolescentes y embarazadas la ALP es fisiológicamente ALTA (origen óseo/placentario). En >60 años con GGT normal, pensar en Paget óseo.",Componente colestásico/hepatobiliar.,Si GGT es normal la ALP alta NO es de origen hepático. Buscar hueso.,alta,40.0,2.0,2.0,24.0,20.0,441.0,si
VM144,alt_u_l,ALT,hepatica,ambos,7.0–41.0,carga_hepatica,Carga Hepatica,Hepático,high,0.85,driver,alta,1.0,alta,alta,1.0,citolisis,si,no,all,si,"albumin_g_dl, ast_u_l, ggt_u_l",,"Driver de citolisis. ALT > 40-80 en paciente con sobrepeso = Hígado Graso No Alcohólico (HGNA) hasta demostrar lo contrario. ALT > 150 = Buscar virus, tóxicos o autoinmune.",Estrés hepatocelular o carga metabólica hepática.,La ALT es más específica de hígado que la AST. AST/ALT > 2 sugiere alcohol.,alta,45.0,2.0,2.0,24.0,10.0,1000.0,si
VM149,alt_u_l,ALT,hepatica,ambos,7.0–41.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.2,support,baja,0.4,media,baja,0.4,citolisis,no,no,all,si,"ggt_u_l, alp_u_l, bilirubin_total_mg_dl",,La ALT puede elevarse leve e inespecíficamente en colestasis. Es un actor de reparto. El protagonista es ALP/GGT.,Componente colestásico/hepatobiliar.,Si ALP y GGT son normales ignorar esta regla. ALT aislada no significa colestasis.,alta,40.0,2.0,2.0,24.0,10.0,1000.0,si
VM090,alt_u_l,ALT,hepatica,ambos,7.0–41.0,estres_oxidativo,Estres Oxidativo,Inflamación / estrés biológico,high,0.1,context,baja,0.4,baja,baja,0.4,metabolico_oxidativo,no,no,all,si,"hscrp_mg_l, ggt_u_l, hba1c_pct",,Concepto muy vago. Se activa con PCR,"GGT y HbA1c altos. Es el equivalente analítico a decir ""estilo de vida sedentario y mala dieta"".",Señal indirecta de estrés oxidativo. No usar como driver. Es un recordatorio para recomendar dieta mediterránea y ejercicio.,baja,65.0,2.0,2.0,20.0,10.0,1000.0,si
VM006,alt_u_l,ALT,hepatica,ambos,7.0–41.0,insulinorresistencia,Insulinorresistencia,Metabólico,high,0.7,support,media,0.7,media,media,0.7,hepatico,no,no,all,si,"glucose_mg_dl, hba1c_pct, insulin_uIU_ml",,"La ALT es el ""canario en la mina"" metabólico. Si ALT > 30 (mujer) / 40 (hombre) y cintura alta",hay resistencia insulínica hepática. La dieta baja en fructosa es el tratamiento.,Patrón de hiperinsulinemia compensatoria con afectación hepática. Exigir señal glucémica o insulínica para no sobrediagnosticar por una ALT limítrofe.,alta,45.0,3.0,2.0,28.0,10.0,1000.0,si
VM196,alt_u_l,ALT,hepatica,ambos,7.0–41.0,recambio_muscular_lesion,Recambio Muscular Lesion,Muscular / recambio,high,0.1,context,baja,0.4,baja,baja,0.4,lesion_contexto,no,no,all,si,"ast_u_l, hscrp_mg_l, creatinine_mg_dl",CK_CPK,"Sin CK (Creatina Kinasa), esta regla es CIEGA. ALT y AST pueden venir del músculo. Si el paciente hizo CrossFit ayer, ignorar esta y la regla hepática.",Sospecha de recambio/lesión muscular.,Muy inespecífico sin CK. Mantener desactivado o con umbral altísimo.,baja,70.0,2.0,2.0,24.0,10.0,1000.0,no
VM115,alt_u_l,ALT,hepatica,ambos,7.0–41.0,sobrecarga_ferrica,Sobrecarga Ferrica,Hematínico / nutricional,high,0.2,context,baja,0.4,baja,baja,0.4,hepatico,no,no,all,si,"transferrin_sat_pct, ferritin_ng_ml, iron_ug_dl",,El hierro oxida el hígado. Si Ferritina > 400 y Saturación > 45%,la ALT alta apoya el diagnóstico de Hemocromatosis o Hemosiderosis.,Exceso de hierro con daño hepatocelular. Ferritina alta aislada es ambigua (inflamación). Necesita saturación alta para activar esta regla.,alta,50.0,2.0,2.0,24.0,10.0,1000.0,si
VM026,apob_mg_dl,Apolipoproteína B (ApoB),lipidos,ambos,0.0–89.0,dislipidemia_aterogenica,Dislipidemia Aterogenica,Metabólico,high,1.0,driver,alta,1.0,alta,alta,1.0,carga_aterogenica,si,no,all,si,"triglycerides_mg_dl, hdl_mg_dl, lpa_nmol_l",,"El GOLD STANDARD de riesgo aterogénico. ApoB > 90 significa EXCESO DE PARTÍCULAS (LDL, VLDL, Remanentes). Es más preciso que el LDL-Colesterol. No necesita ayuno para ser fiable.",Patrón de TG altos,HDL bajo y aumento de partículas aterogénicas. Es el driver principal. Si ApoB es alta el riesgo es real aunque el LDL sea normal.,alta,45.0,2.0,2.0,26.0,40.0,200.0,si
VM010,apob_mg_dl,Apolipoproteína B (ApoB),lipidos,ambos,0.0–89.0,insulinorresistencia,Insulinorresistencia,Metabólico,high,0.35,support,baja,0.4,media,baja,0.4,dislipidemia,no,no,all,si,"glucose_mg_dl, hba1c_pct, insulin_uIU_ml",,"La resistencia a la insulina altera el metabolismo de la ApoB (menor depuración hepática). Resultado: ApoB alta con LDL ""normal"" (Patrón B).",Patrón de hiperinsulinemia y dislipidemia aterogénica.,Refuerza la sospecha de riesgo metabólico si la glucosa o insulina están alteradas.,alta,45.0,3.0,2.0,28.0,40.0,200.0,si
VM038,apob_mg_dl,Apolipoproteína B (ApoB),lipidos,ambos,0.0–89.0,riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,Metabólico,high,0.95,driver,alta,1.0,alta,alta,1.0,carga_aterogenica,si,no,all,si,"lpa_nmol_l, triglycerides_mg_dl, ldl_mg_dl",,Convergencia de factores de riesgo. ApoB alta + Lp(a) alta = Riesgo cardiovascular muy alto. Considerar estatina + ezetimiba independientemente del LDL.,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Patrón resumen de alto riesgo. Prioridad máxima en consulta de prevención.,alta,65.0,3.0,2.0,30.0,40.0,200.0,si
VM145,ast_u_l,AST,hepatica,ambos,10.0–40.0,carga_hepatica,Carga Hepatica,Hepático,high,0.45,support,baja,0.4,alta,media,0.7,citolisis,no,no,all,si,"alt_u_l, albumin_g_dl, ggt_u_l",,AST menos específica que ALT (está en corazón,músculo,riñón). AST/ALT > 2 sugiere OH. AST/ALT < 1 sugiere HGNA. Estrés hepatocelular o carga metabólica hepática. Interpretar siempre en conjunto con ALT. Si AST > ALT y GGT alta pensar en tóxicos.,alta,45.0,2.0,2.0,24.0,15.0,1000.0,si
VM150,ast_u_l,AST,hepatica,ambos,10.0–40.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.15,context,baja,0.4,baja,baja,0.4,citolisis,no,no,all,si,"ggt_u_l, alp_u_l, bilirubin_total_mg_dl",,Igual que ALT en colestasis. Ruido de fondo. No usar para diagnóstico.,Componente colestásico/hepatobiliar.,Priorizar GGT/ALP/Bilirrubina.,alta,40.0,2.0,2.0,24.0,15.0,1000.0,si
VM197,ast_u_l,AST,hepatica,ambos,10.0–40.0,recambio_muscular_lesion,Recambio Muscular Lesion,Muscular / recambio,high,0.1,context,baja,0.4,baja,baja,0.4,lesion_contexto,no,no,all,si,"hscrp_mg_l, alt_u_l, creatinine_mg_dl",CK_CPK,"AST muscular. Sin CK, es imposible diferenciar de AST hepática. Si el paciente tomó estatinas o hizo ejercicio intenso, sospechar músculo.",Sospecha de recambio/lesión muscular.,Desactivado por falta de especificidad.,baja,70.0,2.0,2.0,24.0,15.0,1000.0,no
VM116,ast_u_l,AST,hepatica,ambos,10.0–40.0,sobrecarga_ferrica,Sobrecarga Ferrica,Hematínico / nutricional,high,0.2,context,baja,0.4,baja,baja,0.4,hepatico,no,no,all,si,"transferrin_sat_pct, ferritin_ng_ml, iron_ug_dl",,AST elevada por daño oxidativo del hierro en el hepatocito. Refuerza la sobrecarga férrica.,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Necesita saturación y ferritina altas para ser relevante.,alta,50.0,2.0,2.0,24.0,15.0,1000.0,si
VM147,bilirubin_total_mg_dl,Bilirrubina total,hepatica,ambos,0.2–1.2,carga_hepatica,Carga Hepatica,Hepático,high,0.15,context,baja,0.4,baja,baja,0.4,colestasis,no,no,all,si,"alt_u_l, albumin_g_dl, ast_u_l",,Bilirrubina leve en contexto de transaminasas altas puede indicar hepatitis o cirrosis descompensada. No es específica.,Estrés hepatocelular o carga metabólica hepática.,Usar solo si hay citolisis franca.,alta,45.0,2.0,2.0,24.0,0.1,20.0,si
VM153,bilirubin_total_mg_dl,Bilirrubina total,hepatica,ambos,0.2–1.2,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.85,driver,alta,1.0,alta,alta,1.0,colestasis,si,no,all,si,"ggt_u_l, alp_u_l, alt_u_l",,Driver de ictericia obstructiva o hepatocelular. Bilirrubina > 3.0 mg/dL es visible clínicamente. Buscar obstrucción (ECO) o hemólisis (LDH,Haptoglobina).,Componente colestásico/hepatobiliar. Diferenciar Directa (Obstrucción/Hepatitis) vs Indirecta (Hemólisis/Gilbert). Esta regla asume colestasis si ALP/GGT altas.,alta,40.0,2.0,2.0,24.0,0.1,20.0,si
VM139,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.35,support,baja,0.4,media,baja,0.4,catabolico_masa,no,no,all,si,"albumin_g_dl, creatinine_mg_dl, urea_mg_dl",,IMC < 18.5 con albúmina baja = Desnutrición tipo Marasmo/Kwashiorkor. Riesgo de infecciones y caídas.,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Confirmar con pérdida de peso involuntaria y fuerza muscular.,alta,50.0,2.0,2.0,22.0,15.0,40.0,si
VM185,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Hormonal / saciedad,high,0.15,context,baja,0.4,baja,baja,0.4,fenotipo,no,no,all,si,"tsh_mIU_l, ft4_ng_dl",,Obesidad causa elevación leve de TSH por adaptación (resistencia periférica). No tratar con Levotiroxina si TSH < 7-8 y Acs TPO negativos.,Disfunción tiroidea operativa con reflejo metabólico.,TSH/FT4 deben liderar; el IMC solo da contexto.,alta,45.0,2.0,1.0,22.0,15.0,40.0,si
VM184,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Hormonal / saciedad,low,0.15,context,baja,0.4,baja,baja,0.4,fenotipo,no,no,all,si,"tsh_mIU_l, ft4_ng_dl",,Pérdida de peso con TSH baja = Hipertiroidismo clínico. Adelgazar sin querer con TSH alta = sospechar otra neoplasia oculta.,Disfunción tiroidea operativa con reflejo metabólico.,TSH/FT4 deben liderar.,alta,45.0,2.0,1.0,22.0,15.0,40.0,si
VM193,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,estado_anabolico_bajo,Estado Anabolico Bajo,Hormonal / saciedad,low,0.35,support,baja,0.4,media,baja,0.4,catabolico_masa,no,no,all,si,"creatinine_mg_dl, albumin_g_dl, hb_g_dl",,Sarcopenia o fragilidad. IMC bajo con poca masa muscular. Riesgo de caídas y dependencia.,Señal de baja reserva anabólica o masa magra reducida.,Reforzar con dinamometría si es posible.,alta,50.0,2.0,2.0,22.0,15.0,40.0,si
VM008,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,insulinorresistencia,Insulinorresistencia,Metabólico,high,0.35,support,baja,0.4,media,baja,0.4,adiposidad,no,no,all,si,"glucose_mg_dl, hba1c_pct, insulin_uIU_ml",,El IMC es un proxy imperfecto. La cintura es mejor. IMC > 27 con glucemia alterada confirma riesgo.,Patrón de hiperinsulinemia compensatoria y exceso adiposo.,Exigir señal glucémica o insulínica.,alta,45.0,3.0,2.0,28.0,15.0,40.0,si
VM179,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,resistencia_leptinica_saciedad,Resistencia Leptinica Saciedad,Hormonal / saciedad,high,0.4,support,media,0.7,alta,media,0.7,adiposidad,no,no,all,si,"waist_cm, insulin_uIU_ml, triglycerides_mg_dl",,"IMC alto + Cintura alta + Insulina alta = Cerebro ""sordo"" a la leptina. El paciente no tiene saciedad. Clave en manejo de obesidad.",Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz.,Cintura debe acompañarse de señal metabólica/inflamatoria.,alta,60.0,2.0,2.0,24.0,15.0,40.0,si
VM172,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,retencion_hidrosalina,Retencion Hidrosalina,Renal / volumen,high,0.1,context,baja,0.4,baja,baja,0.4,metabolico,no,no,all,si,"hct_pct, albumin_g_dl, hb_g_dl",,IMC alto por edemas (ICC,IRC,Cirrosis). No es obesidad. El peso fluctúa mucho. Confirmar con signo de fóvea. Patrón compatible con expansión de volumen/hemodilución. No usar IMC como marcador de volumen sin clínica de edemas.,media,60.0,2.0,2.0,22.0,15.0,40.0,si
VM035,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,Metabólico,high,0.15,context,baja,0.4,baja,baja,0.4,adiposidad,no,no,all,si,"apob_mg_dl, lpa_nmol_l, triglycerides_mg_dl",,Factor de riesgo modificable. La reducción del 10% del peso mejora TODOS los parámetros analíticos.,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Patrón resumen; requiere convergencia lipídica y metabólica.,alta,65.0,3.0,2.0,30.0,15.0,40.0,si
VM053,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,sindrome_metabolico_patron,Sindrome Metabolico Patron,Metabólico,high,0.3,support,baja,0.4,media,baja,0.4,adiposidad,no,no,all,si,"glucose_mg_dl, triglycerides_mg_dl, hdl_mg_dl",,Obesidad central (IMC > 30 o cintura > 88/102). Criterio mayor de Sd. Metabólico.,"Agrupación operativa de adiposidad central, glucosa y lípidos.",Buscar 3 de 5 criterios.,alta,65.0,3.0,3.0,32.0,15.0,40.0,si
VM133,chol_total_mg_dl,Colesterol total,lipidos,ambos,0.0–199.0,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.35,support,media,0.7,media,media,0.7,nutricional,no,si,all,si,"albumin_g_dl, creatinine_mg_dl, bmi_kg_m2",,Hipocolesterolemia < 120 mg/dL en adulto sin tratamiento es un SIGNO DE ALARMA. Descartar neoplasia oculta,hipertiroidismo o malabsorción severa.,Sospecha de baja disponibilidad proteica o mayor catabolismo. No es benigno en ancianos. Investigar.,alta,50.0,2.0,2.0,22.0,100.0,1000.0,si
